j,k_Hd,maximum_observable_response,a_at_max,channel_at_max,channel_refinement,pointwise_refinement,lapse_residual,shift_residual,slip_residual,nfev
2.100000000000000000e+01,6.218958879688300634e+00,1.000383100147827609e+00,1.458814260275348440e+00,3.000000000000000000e+00,4.546276549666217193e-15,4.546276549666217193e-15,2.775557561562891351e-17,1.084202172485504434e-19,4.201283418381329682e-19,6.932000000000000000e+03
2.200000000000000000e+01,8.017367679594396890e+00,1.000331619550166806e+00,1.386755828871888419e+00,3.000000000000000000e+00,1.967176421757699245e-15,1.967176421757699245e-15,1.387778780781445676e-17,1.075731843012961431e-19,2.574980159653073031e-19,6.932000000000000000e+03
2.300000000000000000e+01,1.033584330646458760e+01,1.000360735872968698e+00,1.370881766164853577e+00,3.000000000000000000e+00,2.220446049250313081e-15,2.220446049250313081e-15,2.775557561562891351e-17,5.336307567702092136e-20,1.626303258728256651e-19,6.917000000000000000e+03
2.400000000000000000e+01,1.332477954424977540e+01,1.000487778272176609e+00,1.386755828871888419e+00,3.000000000000000000e+00,2.886042138852405253e-15,2.886579864025407005e-15,2.775557561562891351e-17,3.823559663465115124e-20,1.897353801849632760e-19,6.917000000000000000e+03
2.500000000000000000e+01,1.717806129973046225e+01,1.000754019497429814e+00,1.406047524129913961e+00,3.000000000000000000e+00,4.327450962178894134e-15,4.329869796038110508e-15,4.163336342344337027e-17,2.710505431213761085e-20,1.423015351387224570e-19,6.917000000000000000e+03
2.600000000000000000e+01,2.214564143724537715e+01,1.001224796196486411e+00,1.419057521689092161e+00,3.000000000000000000e+00,6.321278381235907922e-15,6.328271240363392280e-15,2.775557561562891351e-17,1.344664803766201788e-20,9.867933835512598950e-20,6.917000000000000000e+03
2.700000000000000000e+01,2.854975460325867331e+01,1.001992378892997415e+00,1.422328787122819849e+00,3.000000000000000000e+00,7.202100347346215864e-15,7.216449660063517513e-15,1.387778780781445676e-17,6.776263578034402713e-21,9.486769009248163798e-20,6.917000000000000000e+03
2.800000000000000000e+01,3.680581979149374661e+01,1.003171895035653405e+00,1.412537544622754382e+00,3.000000000000000000e+00,1.106712648270213444e-14,1.110223024625156540e-14,2.775557561562891351e-17,6.749793798432705827e-21,7.962109704190423187e-20,6.917000000000000000e+03
2.900000000000000000e+01,4.744938754637453826e+01,1.004875531474295203e+00,1.389952631213353218e+00,3.000000000000000000e+00,5.151695042782122869e-15,5.151695042782122869e-15,2.775557561562891351e-17,3.361662009415504471e-21,1.101142831430590441e-19,6.917000000000000000e+03
3.000000000000000000e+01,6.117087980326363095e+01,1.007156873501499073e+00,1.352072563194277155e+00,3.000000000000000000e+00,4.271778243636337180e-14,4.271778243636337180e-14,2.775557561562891351e-17,1.680831004707752235e-21,7.453889935837842984e-20,6.917000000000000000e+03
3.100000000000000000e+01,7.886037585307529696e+01,1.009947910712141628e+00,1.309181922999407055e+00,3.000000000000000000e+00,3.368711559703641001e-13,3.368711559703641001e-13,2.775557561562891351e-17,8.470329472543003391e-22,5.505714157152952204e-20,6.917000000000000000e+03
3.200000000000000000e+01,1.016653495861032752e+02,1.013047595574408266e+00,1.258925411794167282e+00,3.000000000000000000e+00,1.136774268467588556e-12,1.136774268467588556e-12,2.775557561562891351e-17,7.477712737479370181e-22,6.776263578034402713e-20,6.944000000000000000e+03
3.300000000000000000e+01,1.310651032873757629e+02,1.016196567180540189e+00,1.210598133550482292e+00,3.000000000000000000e+00,1.509100570201704627e-12,1.509100570201704627e-12,4.163336342344337027e-17,4.173126190330024620e-22,1.185846126156020475e-19,6.986000000000000000e+03
3.400000000000000000e+01,1.689667263198841738e+02,1.019184621088169873e+00,1.166809617060962534e+00,3.000000000000000000e+00,2.161714858224354774e-12,2.161714858224354774e-12,5.551115123125782702e-17,2.092766949759160017e-22,5.759824041329242306e-20,7.274000000000000000e+03
3.500000000000000000e+01,2.178288032983116409e+02,1.021902985955725374e+00,1.132400363235557039e+00,3.000000000000000000e+00,3.273723333434633287e-12,3.273723333434633287e-12,6.938893903907228378e-17,2.092766949759160017e-22,6.098637220230962441e-20,7.883000000000000000e+03
3.600000000000000000e+01,2.808208963967519480e+02,1.024365033915861645e+00,1.101539309541414990e+00,3.000000000000000000e+00,4.754031098907346431e-12,4.754031098907346431e-12,8.326672684688674053e-17,1.042247571816814870e-22,5.717472393966527289e-20,8.888000000000000000e+03
3.700000000000000000e+01,3.620291470135737768e+02,1.026695599661674008e+00,1.081433951297938068e+00,3.000000000000000000e+00,6.847305898281461078e-12,6.847305898281461078e-12,1.665334536937734811e-16,5.273276405025551427e-23,8.809142651444723526e-20,1.040000000000000000e+04
3.800000000000000000e+01,4.667213336652952762e+02,1.029138034055089967e+00,1.064143018224316117e+00,3.000000000000000000e+00,9.479684317257111581e-12,9.479684317257111581e-12,1.526556658859590243e-16,2.646977960169688560e-23,6.733911930671687696e-20,1.247000000000000000e+04
3.900000000000000000e+01,6.016885797599729813e+02,1.032143912196946456e+00,1.051961873823222815e+00,3.000000000000000000e+00,1.226173614141297386e-11,1.226173614141297386e-11,2.342412824032070153e-16,2.109310562010220571e-23,5.082197683525802034e-20,1.526000000000000000e+04
4.000000000000000000e+01,7.756858769888574443e+02,1.036864921626308611e+00,1.042317429393304185e+00,3.000000000000000000e+00,1.630652177956465332e-11,1.630652177956465332e-11,2.692969716547529054e-16,1.214921524687259397e-23,8.978549240895583594e-20,1.904600000000000000e+04
4.100000000000000000e+01,1.000000000000000000e+03,1.046316863893860694e+00,1.035142166679343889e+00,3.000000000000000000e+00,2.130491537854183048e-11,2.130491537854183048e-11,2.567039621923735695e-16,6.617444900424221399e-24,1.389134033497052556e-19,2.401400000000000000e+04
