ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-2.844516525912399625e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.845029162769829974e-04
2.302585092994045846e-03,5.680670028646594460e-07,-2.782172357751940017e-04,9.633140958954761841e-07,1.000002976698191492e+00,3.968885748286555263e-06,3.968885748286555263e-06,5.680670028646594460e-07,1.531381098760135736e-06,9.999983825548951488e-01,-2.156638646753987257e-06,-2.156638646753987257e-06,8.839312776155249476e-07,8.843175587246997929e-07,8.843175587246997929e-07,3.836642212616352935e-04
4.605170185988091691e-03,1.134470133854831235e-06,-2.720487616566762547e-04,1.910523257567164520e-06,1.000006075344025636e+00,8.100082569567489566e-06,8.100082569567489566e-06,1.134470133854831235e-06,3.044993391421995543e-06,9.999969403638513388e-01,-4.079890996120492607e-06,-4.079890996120492607e-06,1.765026499588621117e-06,1.766658191547216762e-06,1.766658191547216762e-06,3.828223182382574168e-04
6.907755278982137537e-03,1.699208895836053437e-06,-2.659457339571345055e-04,2.841804829926940438e-06,1.000009291651705601e+00,1.238755055005841666e-05,1.238755055005841666e-05,1.699208895836053437e-06,4.541013725762993663e-06,9.999956686105283543e-01,-5.776504352993557995e-06,-5.776504352993557995e-06,2.643289874795202227e-06,2.647153178004153873e-06,2.647153178004153873e-06,3.819772879088556431e-04
9.210340371976183382e-03,2.262282896747455042e-06,-2.599076580563027851e-04,3.757334590507626756e-06,1.000012621405080626e+00,1.682530090860289432e-05,1.682530090860289432e-05,2.262282896747455042e-06,6.019617487255081797e-06,9.999945625526188708e-01,-7.253169040417434561e-06,-7.253169040417434561e-06,3.518725710866242132e-06,3.525930213324610766e-06,3.525930213324610766e-06,3.811292099210191148e-04
1.151292546497022923e-02,2.823691847702573097e-06,-2.539340410298015029e-04,4.657286759017635443e-06,1.000016060456925482e+00,2.140739679219711856e-05,2.140739679219711856e-05,2.823691847702573097e-06,7.480978606720208116e-06,9.999936175211053824e-01,-8.516517634683713902e-06,-8.516517634683713902e-06,4.391338411844334611e-06,4.403113436937062665e-06,4.403113436937062665e-06,3.802781628791348828e-04
1.381551055796427507e-02,3.383435561116546452e-06,-2.480243916854612011e-04,5.541834006927585715e-06,1.000019604728225264e+00,2.612795404889042193e-05,2.612795404889042193e-05,3.383435561116546452e-06,8.925269568044132590e-06,9.999928289195211262e-01,-9.573124223286106734e-06,-9.573124223286106734e-06,5.261132475876533914e-06,5.278823461372899953e-06,5.278823461372899953e-06,3.794242243554479615e-04
1.611809565095832092e-02,3.941513948858148206e-06,-2.421782205985057010e-04,6.411147467083833222e-06,1.000023250207459968e+00,3.098114197805136593e-05,3.098114197805136593e-05,3.941513948858148206e-06,1.035266141594198143e-05,9.999921922232121174e-01,-1.042950368571655808e-05,-1.042950368571655808e-05,6.128112492940985664e-06,6.153177401553161948e-06,6.153177401553161948e-06,3.785674709011054993e-04
1.842068074395236676e-02,4.497927020427693967e-06,-2.363950401455628206e-04,7.265396743348742601e-06,1.000026992949895277e+00,3.596118405801672900e-05,3.596118405801672900e-05,4.497927020427693967e-06,1.176332376377643657e-05,9.999917029786039580e-01,-1.109211099708902067e-05,-1.109211099708902067e-05,6.992283142609088684e-06,7.026288904449312387e-06,7.026288904449312387e-06,3.777079780571252735e-04
2.072326583694641261e-02,5.052674881159637511e-06,-2.306743645374733352e-04,8.104749920263441135e-06,1.000030829076874905e+00,4.106235865113282081e-05,4.106235865113282081e-05,5.052674881159637511e-06,1.315742480142307865e-05,9.999913568024705324e-01,-1.156734055455949038e-05,-1.156734055455949038e-05,7.853649191841354334e-06,7.898268179105139786e-06,7.898268179105139786e-06,3.768458203651992217e-04
2.302585092994045846e-02,5.605757730449887523e-06,-2.250157098510363900e-04,8.929373572731253561e-06,1.000034754775115386e+00,4.627899968621718195e-05,4.627899968621718195e-05,5.605757730449887523e-06,1.453513130318114108e-05,9.999911493812058128e-01,-1.186152552650737900e-05,-1.186152552650737900e-05,8.712215492816994693e-06,8.769222027008993165e-06,8.769222027008993165e-06,3.759810713785025050e-04
