ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-3.110447009866931832e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.995007786079853137e-05
2.302585092994045846e-03,2.947145259987689072e-08,-3.044831656875829351e-04,7.246745983821959763e-07,1.000004173937345975e+00,5.564239717998226628e-06,5.564239717998226628e-06,2.947145259987689072e-08,7.541460509820728472e-07,1.000001911499192930e+00,2.547655514069934815e-06,2.547655514069934815e-06,4.585856590691379343e-08,4.639032979421082402e-08,4.639032979421082402e-08,1.990183677666795004e-05
4.605170185988091691e-03,5.884615002226865284e-08,-2.979222702912995941e-04,1.433459109339882263e-06,1.000012227190701486e+00,1.628725663294845511e-05,1.628725663294845511e-05,5.884615002226865284e-08,1.492305259362150850e-06,1.000007750274923390e+00,1.031803559549985171e-05,1.031803559549985171e-05,9.155375357333537766e-08,9.570287333386033502e-08,9.570287333386033502e-08,1.984878753694331615e-05
6.907755278982137537e-03,8.811728369156796596e-08,-2.913647726797769975e-04,2.126377599220982676e-06,1.000024051162104133e+00,3.199017200224820248e-05,3.199017200224820248e-05,8.811728369156796596e-08,2.214494882912550522e-06,1.000017407677455505e+00,2.313219247059800039e-05,2.313219247059800039e-05,1.370752148683769172e-07,1.508887229389289739e-07,1.508887229389289739e-07,1.979102083963003392e-05
9.210340371976183382e-03,1.172781889576346119e-07,-2.848133586065653127e-04,2.803460178282971786e-06,1.000039538088060675e+00,5.247381228404220414e-05,5.247381228404220414e-05,1.172781889576346119e-07,2.920738367240606266e-06,1.000030775872958966e+00,4.079085881507978247e-05,4.079085881507978247e-05,1.824128162426367712e-07,2.147940689593782285e-07,2.147940689593782285e-07,1.972862729189856843e-05
1.151292546497022923e-02,1.463223445956361447e-07,-2.782706422676581694e-04,3.464742831057590710e-06,1.000058581073097974e+00,7.751980183258847283e-05,7.751980183258847283e-05,1.463223445956361447e-07,3.611065175653226749e-06,1.000047747877571114e+00,6.307554112997556075e-05,6.307554112997556075e-05,2.275566380635949040e-07,2.901487264920183293e-07,2.901487264920183293e-07,1.966169736953567404e-05
1.381551055796427507e-02,1.752433722558052495e-07,-2.717391668998721862e-04,4.110267248345900351e-06,1.000081074121869751e+00,1.068917263130545034e-04,1.068917263130545034e-04,1.752433722558052495e-07,4.285510620601705812e-06,1.000068217590007968e+00,8.974968383064767675e-05,8.974968383064767675e-05,2.724969738668053063e-07,3.795552944779350788e-07,3.795552944779350788e-07,1.959032137761322243e-05
1.611809565095832092e-02,2.040350358644343473e-07,-2.652214054055202440e-04,4.740080660898809831e-06,1.000106912169837603e+00,1.403363606665584062e-04,1.403363606665584062e-04,2.040350358644343473e-07,4.944115696763244443e-06,1.000092079822747282e+00,1.205598978795054284e-04,1.205598978795054284e-04,3.172243295256885105e-07,4.854789865792256449e-07,4.854789865792256449e-07,1.951458941236727479e-05
1.842068074395236676e-02,2.326912409774163046e-07,-2.587197610021418643e-04,5.354235674835630974e-06,1.000135991112558242e+00,1.775849552947497169e-04,1.775849552947497169e-04,2.326912409774163046e-07,5.586926915813047597e-06,1.000119230331810716e+00,1.552372476314975197e-04,1.552372476314975197e-04,3.617294223427289244e-07,6.102381699001307617e-07,6.102381699001307617e-07,1.943459132427975773e-05
2.072326583694641261e-02,2.612060340876170954e-07,-2.522365678960768729e-04,5.952790108850382225e-06,1.000168207833592060e+00,2.183545739478938267e-04,2.183545739478938267e-04,2.612060340876170954e-07,6.213996142937999109e-06,1.000149565845163346e+00,1.934985893761418405e-04,1.934985893761418405e-04,4.060031800648318526e-07,7.559956438058598576e-07,7.559956438058598576e-07,1.935041668235402886e-05
2.302585092994045846e-02,2.895736018873559553e-07,-2.457740919786897829e-04,6.535806833252686734e-06,1.000203460231063213e+00,2.623494766942781721e-04,2.623494766942781721e-04,2.895736018873559553e-07,6.825380435140042689e-06,1.000182984089757809e+00,2.350479549537180183e-04,2.350479549537180183e-04,4.500367398255870272e-07,9.247506875324659503e-07,9.247506875324659503e-07,1.926215473957561757e-05
2.532843602293450430e-02,3.177882704872540749e-07,-2.393345315440794589e-04,7.103353610887752047e-06,1.000241647242891441e+00,3.092625412425588903e-04,3.092625412425588903e-04,3.177882704872540749e-07,7.421141881375005804e-06,1.000219383817247287e+00,2.795779737170588433e-04,2.795779737170588433e-04,4.938214470171567769e-07,1.118331901392119235e-06,1.118331901392119235e-06,1.916989439954861705e-05
2.763102111592855015e-02,3.458445045926994050e-07,-2.329200180271194965e-04,7.655502939976900444e-06,1.000282668870722924e+00,3.587767158341225501e-04,3.587767158341225501e-04,3.458445045926994050e-07,8.001347444569600537e-06,1.000258664828389321e+00,3.267713260558441682e-04,3.267713260558441682e-04,5.373488540944651404e-07,1.338390862597737664e-06,1.338390862597737664e-06,1.907372418429723792e-05
2.993360620892259599e-02,3.737369066391749364e-07,-2.265326167607091741e-04,8.192331898917997143e-06,1.000326426202583274e+00,4.105664968931834586e-04,4.105664968931834586e-04,3.737369066391749364e-07,8.566068805557172609e-06,1.000300727996166650e+00,3.763022216709547749e-04,3.763022216709547749e-04,5.806107193143553374e-07,1.586396612880816601e-06,1.586396612880816601e-06,1.897373220322254536e-05
3.223619130191664184e-02,4.014602158876785994e-07,-2.201743277511197382e-04,8.713921993082198792e-06,1.000372821434276860e+00,4.642994246224357315e-04,4.642994246224357315e-04,4.014602158876785994e-07,9.115382208969877127e-06,1.000345475287649943e+00,4.278378957865562365e-04,4.278378957865562365e-04,6.235990054123365281e-07,1.863630991137815769e-06,1.863630991137815769e-06,1.887000612320224695e-05
3.453877639491068768e-02,4.290093074814692260e-07,-2.138470864703521197e-04,9.220359003641269476e-06,1.000421757889557783e+00,5.196375897710570632e-04,5.196375897710570632e-04,4.290093074814692260e-07,9.649368311122738702e-06,1.000392809784624415e+00,4.810401165265660813e-04,4.810401165265660813e-04,6.663058782195176063e-07,2.171184820585478125e-06,2.171184820585478125e-06,1.876263313982217399e-05
3.684136148790473353e-02,4.563791914653579867e-07,-2.075527646644380320e-04,9.711732838457072130e-06,1.000473140039098485e+00,5.762391448602179880e-04,5.762391448602179880e-04,4.563791914653579867e-07,1.016811202992242948e-05,1.000442635703008731e+00,5.355666967405282430e-04,5.355666967405282430e-04,7.087237052222892941e-07,2.509954955911383602e-06,2.509954955911383602e-06,1.865169994972677820e-05
3.914394658089877937e-02,4.835650117687727570e-07,-2.012931711766331017e-04,1.018813738506265281e-05,1.000526873518278181e+00,6.337598132503183398e-04,6.337598132503183398e-04,4.835650117687727570e-07,1.067170239683142599e-05,1.000494858411087762e+00,5.910730036629926630e-04,5.910730036629926630e-04,7.508450540672870616e-07,2.880642192291711108e-06,2.880642192291711108e-06,1.853729272407553144e-05
4.144653167389282522e-02,5.105620451538072011e-07,-1.950700527844739362e-04,1.064967036576182211e-05,1.000582865143819555e+00,6.918543895500301388e-04,6.918543895500301388e-04,5.105620451538072011e-07,1.116023241091562984e-05,1.000549384446586698e+00,6.472134599063676533e-04,6.472134599063676533e-04,7.926626910141226063e-07,3.283750034168057713e-06,3.283750034168057713e-06,1.841949708309156437e-05
4.374911676688687107e-02,5.373657001294803343e-07,-1.888850950496871880e-04,1.109643319487195699e-05,1.000641022929293689e+00,7.501782250203985810e-04,7.501782250203985810e-04,5.373657001294803343e-07,1.163379889500143764e-05,1.000606121532608750e+00,7.036430294403928304e-04,7.036430294403928304e-04,8.341695793383463240e-07,3.719584318273032182e-06,3.719584318273032182e-06,1.829839807168823237e-05
4.605170185988091691e-02,5.639715158334167108e-07,-1.827399231799581379e-04,1.152853083813247774e-05,1.000701256099524983e+00,8.083886917977184481e-04,8.083886917977184481e-04,5.639715158334167108e-07,1.209250235396589392e-05,1.000664978592463061e+00,7.600186823818549063e-04,7.600186823818549063e-04,8.753588776870585204e-07,4.188253681512439896e-06,4.188253681512439896e-06,1.817408013615879933e-05
4.835428695287496276e-02,5.903751608821729451e-07,-1.766361029015881641e-04,1.194607167429923749e-05,1.000763475103913391e+00,8.661466199591055749e-04,8.661466199591055749e-04,5.903751608821729451e-07,1.253644683518140958e-05,1.000725865763407940e+00,8.160008326183799433e-04,8.160008326183799433e-04,9.162239383895524899e-07,4.689670861113383233e-06,4.689670861113383233e-06,1.804662710191387410e-05
5.065687204586900860e-02,6.165724321914172724e-07,-1.705751413420834492e-04,1.234916735894288132e-05,1.000827591628705715e+00,9.231177016756064984e-04,9.231177016756064984e-04,6.165724321914172724e-07,1.296573979113429902e-05,1.000788694409332269e+00,8.712547425110692481e-04,8.712547425110692481e-04,9.567583057253271684e-07,5.223554810826898580e-06,5.223554810826898580e-06,1.791612215225055337e-05
5.295945713886305445e-02,6.425592537671922517e-07,-1.645584879217435413e-04,1.273793269046722109e-05,1.000893518608234611e+00,9.789738569395997451e-04,9.789738569395997451e-04,6.425592537671922517e-07,1.338049194423441345e-05,1.000853377132401967e+00,9.254518891626621049e-04,9.254518891626621049e-04,9.969557141517762524e-07,5.789433613920884755e-06,5.789433613920884755e-06,1.778264780813694701e-05
5.526204223185710029e-02,6.683316754694693255e-07,-1.585875352533310423e-04,1.311248547836140214e-05,1.000961170235155739e+00,1.033394555616357373e-03,1.033394555616357373e-03,6.683316754694693255e-07,1.378081715383087168e-05,1.000919827783694149e+00,9.782712870010337909e-04,9.782712870010337909e-04,1.036810086493805516e-06,6.386648170480145718e-06,6.386648170480145718e-06,1.764628590899496223e-05
5.756462732485114614e-02,6.938858717492198380e-07,-1.526636200489281750e-04,1.347294641369789153e-05,1.001030461969702579e+00,1.086068090850318951e-03,1.086068090850318951e-03,6.938858717492198380e-07,1.416683228544711200e-05,1.000987961472846299e+00,1.029400761708530428e-03,1.029400761708530428e-03,1.076315532097603379e-06,7.014356633621522119e-06,7.014356633621522119e-06,1.750711759446407382e-05
5.986721241784519199e-02,7.192181403602241404e-07,-1.467880240331028373e-04,1.381943894188609292e-05,1.001101310547987788e+00,1.136692799151867422e-03,1.136692799151867422e-03,7.192181403602241404e-07,1.453865708224631738e-05,1.001057694576741097e+00,1.078538170822882078e-03,1.078538170822882078e-03,1.115466344950732062e-06,7.671539566465198864e-06,7.671539566465198864e-06,1.736522328712812355e-05
6.216979751083923783e-02,7.443249010468298323e-07,-1.409619748615235587e-04,1.415208913768955033e-05,1.001173633989371758e+00,1.184978222806054799e-03,1.184978222806054799e-03,7.443249010468298323e-07,1.489641403873638048e-05,1.001128944747255556e+00,1.125392566651109297e-03,1.125392566651109297e-03,1.154257001770664127e-06,8.357005789007361906e-06,8.357005789007361906e-06,1.722068267618661870e-05
6.447238260383328368e-02,7.692026942088890293e-07,-1.351866470441923443e-04,1.447102558251290372e-05,1.001247351602924329e+00,1.230646210563452261e-03,1.230646210563452261e-03,7.692026942088890293e-07,1.524022827672179307e-05,1.001201630918094221e+00,1.169685297456565191e-03,1.169685297456565191e-03,1.192682160063858777e-06,9.069398881710973628e-06,9.069398881710973628e-06,1.707357470205224777e-05
6.677496769682733646e-02,7.938481795450867615e-07,-1.294631628724705733e-04,1.477637924396277055e-05,1.001322383993005882e+00,1.273431952917887609e-03,1.273431952917887609e-03,7.938481795450867615e-07,1.557022742350785689e-05,1.001275673310735304e+00,1.211151043223856289e-03,1.211151043223856289e-03,1.230736656157402135e-06,9.807204310235016553e-06,9.807204310235016553e-06,1.692397754185496185e-05
6.907755278982137537e-02,8.182581346758770531e-07,-1.237925933491068641e-04,1.506828335768503523e-05,1.001398653063985789e+00,1.313084948610159343e-03,1.313084948610159343e-03,8.182581346758770531e-07,1.588654149236091271e-05,1.001350993439508619e+00,1.249538782640715598e-03,1.249538782640715598e-03,1.268415503205210690e-06,1.056875713382281688e-05,1.056875713382281688e-05,1.677196859583368223e-05
7.138013788281541427e-02,8.424294537472447183e-07,-1.181759591204854928e-04,1.534687331147926970e-05,1.001476082024128855e+00,1.349369899364671280e-03,1.349369899364671280e-03,8.424294537472447183e-07,1.618930276522651516e-05,1.001427514115833084e+00,1.284612688303765193e-03,1.284612688303765193e-03,1.305713889170735090e-06,1.135225025781245114e-05,1.135225025781245114e-05,1.661762447459543747e-05
7.368272297580946706e-02,8.663591460165030697e-07,-1.126142314103431341e-04,1.561228653168930436e-05,1.001554595388667979e+00,1.382067530207859666e-03,1.382067530207859666e-03,8.663591460165030697e-07,1.647864567770580764e-05,1.001505159451634874e+00,1.316152947497036462e-03,1.316152947497036462e-03,1.342627174788064385e-06,1.215574318927397810e-05,1.215574318927397810e-05,1.646102098722226529e-05
7.598530806880351984e-02,8.900443344213285276e-07,-1.071083329542142941e-04,1.586466237186724389e-05,1.001634118982090094e+00,1.410975333099912313e-03,1.410975333099912313e-03,8.900443344213285276e-07,1.675470670628857083e-05,1.001583854861971323e+00,1.343956506274758111e-03,1.343956506274758111e-03,1.379150891503268134e-06,1.297717125310698263e-05,1.297717125310698263e-05,1.630223313020513366e-05
7.828789316179755875e-02,9.134822541332467745e-07,-1.016591389338983320e-04,1.610414200370687579e-05,1.001714579939654293e+00,1.435908231958736136e-03,1.435908231958736136e-03,9.134822541332467745e-07,1.701762425784012256e-05,1.001663527066880777e+00,1.367837734927375686e-03,1.367837734927375686e-03,1.415280739397786933e-06,1.381435522486431118e-05,1.381435522486431118e-05,1.614133507718504707e-05
8.059047825479159766e-02,9.366702510967527021e-07,-9.626747791124487161e-05,1.633086831024049322e-05,1.001795906708169426e+00,1.456699167538228401e-03,1.456699167538228401e-03,9.366702510967527021e-07,1.726753856133724603e-05,1.001744104092485488e+00,1.387629013292879417e-03,1.387629013292879417e-03,1.451012585095607336e-06,1.466501133536942360e-05,1.466501133536942360e-05,1.597840016947970129e-05
8.289306334778565044e-02,9.596057805552611124e-07,-9.093413276059939617e-05,1.654498578129204761e-05,1.001878029046051610e+00,1.473199600977193914e-03,1.473199600977193914e-03,9.596057805552611124e-07,1.750459156184730851e-05,1.001825515271365985e+00,1.403181234729804694e-03,1.403181234729804694e-03,1.486342459655928795e-06,1.552676160145770112e-05,1.552676160145770112e-05,1.581350090737590336e-05
8.519564844077970323e-02,9.822864055650652335e-07,-8.565984159924576577e-05,1.674664041117777447e-05,1.001960878022681856e+00,1.485279935205533180e-03,1.485279935205533180e-03,9.822864055650652335e-07,1.772892681674283907e-05,1.001907691242231557e+00,1.414364227938561891e-03,1.414364227938561891e-03,1.521266556452965867e-06,1.639714443648328728e-05,1.639714443648328728e-05,1.564670894216580171e-05
8.749823353377374213e-02,1.004709795498473753e-06,-8.044529871522953330e-05,1.693597959864431428e-05,1.002044386017092448e+00,1.492829853753182071e-03,1.492829853753182071e-03,1.004709795498473753e-06,1.794068939414278634e-05,1.001990563948909951e+00,1.421067096176610979e-03,1.421067096176610979e-03,1.555781229044492719e-06,1.727362549382136544e-05,1.727362549382136544e-05,1.547809506890667888e-05
8.980081862676778104e-02,1.026873724537287867e-06,-7.529115549194883325e-05,1.711315204903277840e-05,1.002128486715994748e+00,1.495758576857321486e-03,1.495758576857321486e-03,1.026873724537287867e-06,1.814002577357006521e-05,1.002074066638674044e+00,1.423198473763041252e-03,1.423198473763041252e-03,1.589882989030673217e-06,1.815360869638635240e-05,1.815360869638635240e-05,1.530772921988275847e-05
9.210340371976183382e-02,1.048776070157759075e-06,-7.019802132893053232e-05,1.727830767865611207e-05,1.002213115111178610e+00,1.493995035119543690e-03,1.493995035119543690e-03,1.048776070157759075e-06,1.832708374881387262e-05,1.002158133859932132e+00,1.420686700124288186e-03,1.420686700124288186e-03,1.623568503904680946e-06,1.903444740513016370e-05,1.903444740513016370e-05,1.513568045874793331e-05
9.440598881275588661e-02,1.070414811608171981e-06,-6.516646455823360301e-05,1.743159752137571068e-05,1.002298207496298277e+00,1.487487961291571528e-03,1.487487961291571528e-03,1.070414811608171981e-06,1.850201233298388414e-05,1.002242701459299390e+00,1.413479911959636100e-03,1.413479911959636100e-03,1.656834594896559264e-06,1.991345567969876138e-05,1.991345567969876138e-05,1.496201697532871858e-05
9.670857390574992551e-02,1.091788028380161997e-06,-6.019701335593311274e-05,1.757317363736213086e-05,1.002383701463070098e+00,1.476205901113158232e-03,1.476205901113158232e-03,1.091788028380161997e-06,1.866496166574229412e-05,1.002327706578072908e+00,1.401546054450188974e-03,1.401546054450188974e-03,1.689678234811723452e-06,2.078791958474502768e-05,2.078791958474502768e-05,1.478680608106580849e-05
9.901115899874396442e-02,1.112893898674874837e-06,-5.529015664817561271e-05,1.770318902402367729e-05,1.002469535896899577e+00,1.460137144426198455e-03,1.460137144426198455e-03,1.112893898674874837e-06,1.881608292269855128e-05,1.002413087648131418e+00,1.384872812735404250e-03,1.384872812735404250e-03,1.722096545865455976e-06,2.165510849598842349e-05,2.165510849598842349e-05,1.461011420507384334e-05
1.013137440917380172e-01,1.133730697865056235e-06,-5.044634501130461173e-05,1.782179752908540635e-05,1.002555650971960421e+00,1.439289578117759457e-03,1.439289578117759457e-03,1.133730697865056235e-06,1.895552822695046217e-05,1.002498784387279462e+00,1.363467465209957513e-03,1.363467465209957513e-03,1.754086797514702251e-06,2.251228636080136440e-05,2.251228636080136440e-05,1.443200689079823142e-05
1.036163291847320700e-01,1.154296796954134471e-06,-4.566599156558441900e-05,1.792915376580014555e-05,1.002641988145743790e+00,1.413690462714970505e-03,1.413690462714970505e-03,1.154296796954134471e-06,1.908345056275428150e-05,1.002584737794055547e+00,1.337356660463953325e-03,1.337356660463953325e-03,1.785646404288415655e-06,2.335672286903699605e-05,2.335672286903699605e-05,1.425254879324823464e-05
1.059189142777261089e-01,1.174590661033349434e-06,-4.094947286207432956e-05,1.802541303027220958e-05,1.002728490153099283e+00,1.383386134758738360e-03,1.383386134758738360e-03,1.174590661033349434e-06,1.920000369130555774e-05,1.002670890142025373e+00,1.306586119993516197e-03,1.306586119993516197e-03,1.816772923617668334e-06,2.418570449085751279e-05,2.418570449085751279e-05,1.407180367678620401e-05
1.082214993707201478e-01,1.194610847737948474e-06,-3.629712976222224314e-05,1.811073122087343014e-05,1.002815100999784548e+00,1.348441637327222383e-03,1.348441637327222383e-03,1.194610847737948474e-06,1.930534206861137756e-05,1.002757184973578797e+00,1.271220269052776792e-03,1.271220269052776792e-03,1.847464053666681249e-06,2.499654533955729063e-05,2.499654533955729063e-05,1.388983441345229927e-05
1.105240844637142006e-01,1.214356005703462706e-06,-3.170926830976815208e-05,1.818526475973035410e-05,1.002901765955546365e+00,1.308940281346636933e-03,1.308940281346636933e-03,1.214356005703462706e-06,1.939962076543381595e-05,1.002843567093250066e+00,1.231341798284901669e-03,1.231341798284901669e-03,1.877717631165889223e-06,2.578659781874694930e-05,2.578659781874694930e-05,1.370670298180455690e-05
1.128266695567082534e-01,1.233824873023036187e-06,-2.718616059457868852e-05,1.824917051626055993e-05,1.002988431546746551e+00,1.264983140549278285e-03,1.264983140549278285e-03,1.233824873023036187e-06,1.948299538928359570e-05,1.002929982560578637e+00,1.187051158992143834e-03,1.187051158992143834e-03,1.907531629248105071e-06,2.655326301477491850e-05,2.655326301477491850e-05,1.352247046625479761e-05
1.151292546497022923e-01,1.253016275706773999e-06,-2.272804560804365118e-05,1.830260573273538886e-05,1.003075045548557531e+00,1.216688483160445521e-03,1.216688483160445521e-03,1.253016275706773999e-06,1.955562200844216371e-05,1.003016378682532128e+00,1.138465995126676771e-03,1.138465995126676771e-03,1.936904155288813218e-06,2.729400079690743469e-05,2.729400079690743469e-05,1.333719705688052578e-05
