log10_a,Q,N_T,log10_H_Hd
-10,9.8402114468923063,0.10162383251589738,15.255165501264488
-9.9676143937264001,9.8122474665548705,0.10191345085909305,15.20596116032573
-9.935228787452802,9.7842834862174346,0.10220472469022829,15.156755009908947
-9.9028431811792039,9.7563195058799987,0.1024976682443942,15.107547039521922
-9.8704575749056058,9.7283555255425647,0.10279229592035583,15.05833723858091
-9.8380719686320077,9.700391545205127,0.10308862228291155,15.00912559640957
-9.8056863623584096,9.672427564867693,0.10338666206529289,14.959912102237903
-9.7733007560848115,9.6444635845302571,0.10368643017160668,14.910696745201115
-9.7409151498112116,9.6164996041928195,0.1039879416793193,14.861479514338534
-9.7085295435376153,9.5885356238553854,0.10429121184178457,14.812260398592477
-9.6761439372640154,9.5605716435179495,0.10459625609081631,14.763039386807071
-9.6437583309904173,9.5326076631805137,0.1049030900393056,14.713816467727124
-9.6113727247168192,9.5046436828430778,0.10521172948388476,14.664591629996918
-9.5789871184432211,9.4766797025056437,0.10552219040763813,14.61536486215903
-9.546601512169623,9.4487157221682061,0.10583448898286137,14.566136152653076
-9.5142159058960249,9.420751741830772,0.10614864157386936,14.516905489814528
-9.4818302996224268,9.3927877614933362,0.10646466473985487,14.467672861873409
-9.449444693348827,9.3648237811558985,0.10678257523779804,14.418438256953042
-9.4170590870752307,9.3368598008184644,0.1071023900254281,14.36920166306877
-9.3846734808016308,9.3088958204810286,0.10742412626423892,14.319963068126599
-9.3522878745280327,9.2809318401435927,0.1077478013225586,14.270722459921911
-9.3199022682544346,9.2529678598061569,0.1080734327786749,14.221479826138086
-9.2875166619808365,9.225003879468721,0.10840103842401758,14.172235154345131
-9.2551310557072384,9.1970398991312852,0.1087306362663987,14.122988431998285
-9.2227454494336385,9.1690759187938493,0.1090622445333123,14.073739646436604
-9.1903598431600422,9.1411119384564135,0.10939588167529453,14.02448878488152
-9.1579742368864423,9.1131479581189776,0.10973156636934572,13.975235834435377
-9.125588630612846,9.0851839777815435,0.11006931752241565,13.925980782079955
-9.0932030243392461,9.0572199974441059,0.11040915427495347,13.876723614674948
-9.060817418065648,9.0292560171066718,0.11075109600452322,13.827464318956453
-9.0284318117920499,9.0012920367692359,0.11109516232948734,13.778202881535391
-8.9960462055184518,8.9733280564318001,0.11144137311275847,13.728939288895951
-8.9636605992448537,8.9453640760943642,0.11178974846562199,13.679673527393966
-8.9312749929712538,8.9174000957569284,0.11214030875163035,13.630405583255291
-8.8988893866976575,8.8894361154194925,0.11249307459057092,13.581135442574153
-8.8665037804240576,8.8614721350820567,0.11284806686250896,13.531863091311456
-8.8341181741504613,8.8335081547446208,0.1132053067119074,13.482588515293076
-8.8017325678768614,8.805544174407185,0.1135648155518251,13.433311700208131
-8.7693469616032633,8.7775801940697509,0.11392661506819536,13.384032631607205
-8.7369613553296652,8.7496162137323132,0.11429072722418658,13.334751294900558
-8.7045757490560653,8.7216522333948774,0.11465717426464653,13.28546767535631
-8.672190142782469,8.6936882530574433,0.11502597872063271,13.236181758098578
-8.6398045365088691,8.6657242727200057,0.11539716341403038,13.186893528105596
-8.6074189302352728,8.6377602923825716,0.11577075146225989,13.137602970207812
-8.5750333239616729,8.6097963120451357,0.11614676628307646,13.088310069085919
-8.5426477176880766,8.5818323317076999,0.11652523159946308,13.039014809268911
-8.5102621114144767,8.553868351370264,0.11690617144461987,12.989717175132037
-8.4778765051408786,8.5259043710328282,0.1172896101670514,12.940417150894785
-8.4454908988672805,8.4979403906953923,0.11767557243575455,12.891114720618795
-8.4131052925936807,8.4699764103579565,0.11806408324550909,12.84180986820574
-8.3807196863200843,8.4420124300205206,0.11845516792227338,12.792502577395192
-8.3483340800464845,8.4140484496830847,0.11884885212868783,12.743192831762423
-8.3159484737728881,8.3860844693456507,0.11924516186968816,12.6938806147162
-8.2835628674992883,8.358120489008213,0.11964412349823178,12.644565909496508
-8.2511772612256902,8.3301565086707772,0.12004576372113897,12.595248699172275
-8.2187916549520921,8.3021925283333431,0.1204501096050526,12.545928966639019
-8.186406048678494,8.2742285479959072,0.12085718858251855,12.496606694616478
-8.1540204424048959,8.2462645676584714,0.12126702845818955,12.447281865646188
-8.121634836131296,8.2183005873210355,0.12167965741515613,12.397954462089032
-8.0892492298576997,8.1903366069835997,0.12209510402140697,12.348624466122747
-8.0568636235840998,8.1623726266461638,0.12251339723642216,12.299291859739348
-8.0244780173105017,8.134408646308728,0.12293456641790242,12.249956624742572
-7.9920924110369036,8.1064446659712921,0.12335864132863759,12.200618742745233
-7.9597068047633064,8.078480685633858,0.1237856521435178,12.15127819516653
-7.9273211984897074,8.0505167052964204,0.12421562945669087,12.101934963229333
-7.8949355922161084,8.0225527249589845,0.12464860428886898,12.05258902795741
-7.8625499859425112,7.9945887446215504,0.12508460809478927,12.003240370172586
-7.8301643796689122,7.9666247642841137,0.12552367277083129,11.953888970491878
-7.7977787733953132,7.9386607839466778,0.12596583066279518,11.904534809324574
-7.765393167121716,7.9106968036092429,0.12641111457384532,11.855177866869239
-7.7330075608481179,7.8827328232718079,0.12685955777262281,11.805818123110697
-7.7006219545745189,7.8547688429343721,0.12731119400153112,11.756455557816926
-7.6682363483009199,7.8268048625969353,0.12776605748519962,11.707090150535935
-7.6358507420273227,7.7988408822595003,0.12822418293912896,11.657721880592554
-7.6034651357537237,7.7708769019220645,0.12868560557852332,11.608350727085167
-7.5710795294801265,7.7429129215846286,0.1291503611273139,11.558976668882403
-7.5386939232065275,7.7149489412471928,0.12961848582737875,11.509599684619758
-7.5063083169329303,7.6869849609097578,0.1300900164479637,11.460219752696146
-7.4739227106593313,7.6590209805723211,0.13056499029530991,11.410836851270389
-7.4415371043857323,7.6310570002348852,0.13104344522249275,11.361450958257665
-7.4091514981121342,7.6030930198974502,0.13152541963947822,11.312062051325851
-7.3767658918385353,7.5751290395600135,0.13201095252340189,11.26267010789182
-7.344380285564938,7.5471650592225794,0.13250008342907613,11.213275105117678
-7.3119946792913391,7.5192010788851427,0.13299285249973233,11.163877019906897
-7.2796090730177418,7.4912370985477077,0.13348930047800323,11.114475828900419
-7.2472234667441429,7.4632731182102718,0.13398946871715245,11.065071508472638
-7.2148378604705439,7.4353091378728351,0.13449339919255726,11.015664034727347
-7.1824522541969467,7.4073451575354001,0.13500113451345147,10.966253383493587
-7.1500666479233477,7.3793811771979643,0.13551271793493549,10.916839530321402
-7.1176810416497496,7.3514171968605284,0.13602819337026018,10.867422450477555
-7.0852954353761515,7.3234532165230926,0.13654760540339239,10.818002118941109
-7.0529098291025534,7.2954892361856576,0.13707099930186939,10.768578510398974
-7.0205242228289544,7.2675252558482208,0.13759842102995021,10.719151599241311
-6.9881386165553554,7.239561275510785,0.1381299172620713,10.669721359556904
-6.9557530102817582,7.21159729517335,0.13866553539661594,10.620287765128397
