p_squared_Hd_squared,K_d,V_d_Hd_squared
1.283338200000000029e+02,3.577272777777777719e+02,5.201695157778550538e+02
1.291671500000000208e+02,3.600420833333334372e+02,5.263876835323994783e+02
1.300004800000000103e+02,3.623568888888888750e+02,5.326425022283023054e+02
1.308338099999999997e+02,3.646716944444444835e+02,5.389339718655637625e+02
1.316671400000000176e+02,3.669865000000000350e+02,5.452620924441839634e+02
1.325004700000000071e+02,3.693013055555555866e+02,5.516268639641626805e+02
1.333337999999999965e+02,3.716161111111111381e+02,5.580282864254999140e+02
1.341671300000000144e+02,3.739309166666666897e+02,5.644663598281961185e+02
1.350004600000000039e+02,3.762457222222222413e+02,5.709410841722506120e+02
1.358337899999999934e+02,3.785605277777777360e+02,5.774524594576637355e+02
1.366671200000000113e+02,3.808753333333334012e+02,5.840004856844356027e+02
1.375004500000000007e+02,3.831901388888888960e+02,5.905851628525659862e+02
1.383337800000000186e+02,3.855049444444445044e+02,5.972064909620552271e+02
1.391671100000000081e+02,3.878197500000000559e+02,6.038644700129026432e+02
1.400004399999999976e+02,3.901345555555554938e+02,6.105591000051089168e+02
1.408337700000000154e+02,3.924493611111111591e+02,6.172903809386740477e+02
1.416671000000000049e+02,3.947641666666666538e+02,6.240583128135972402e+02
1.425004299999999944e+02,3.970789722222221485e+02,6.308628956298792900e+02
1.433337600000000123e+02,3.993937777777778706e+02,6.377041293875200836e+02
1.441670900000000017e+02,4.017085833333333653e+02,6.445820140865192798e+02
1.450004200000000196e+02,4.040233888888889169e+02,6.514965497268773333e+02
1.458337500000000091e+02,4.063381944444444684e+02,6.584477363085937895e+02
1.466670799999999986e+02,4.086530000000000200e+02,6.654355738316688758e+02
1.475004100000000165e+02,4.109678055555556284e+02,6.724600622961028193e+02
1.483337400000000059e+02,4.132826111111111231e+02,6.795212017018950519e+02
1.491670699999999954e+02,4.155974166666667315e+02,6.866189920490460281e+02
1.500004000000000133e+02,4.179122222222222263e+02,6.937534333375556344e+02
1.508337300000000027e+02,4.202270277777778347e+02,7.009245255674237569e+02
1.516670600000000206e+02,4.225418333333333862e+02,7.081322687386507369e+02
1.525003900000000101e+02,4.248566388888888810e+02,7.153766628512360057e+02
1.533337199999999996e+02,4.271714444444444894e+02,7.226577079051800183e+02
1.541670500000000175e+02,4.294862500000000978e+02,7.299754039004827746e+02
1.550003800000000069e+02,4.318010555555555925e+02,7.373297508371439335e+02
1.558337099999999964e+02,4.341158611111110872e+02,7.447207487151638361e+02
1.566670400000000143e+02,4.364306666666666956e+02,7.521483975345424824e+02
1.575003700000000038e+02,4.387454722222222472e+02,7.596126972952793039e+02
1.583337000000000216e+02,4.410602777777778556e+02,7.671136479973750966e+02
1.591670300000000111e+02,4.433750833333333503e+02,7.746512496408294055e+02
1.600003600000000006e+02,4.456898888888888450e+02,7.822255022256422308e+02
1.608336900000000185e+02,4.480046944444444534e+02,7.898364057518140271e+02
1.616670200000000079e+02,4.503195000000000618e+02,7.974839602193439987e+02
1.625003499999999974e+02,4.526343055555555566e+02,8.051681656282327140e+02
1.633336800000000153e+02,4.549491111111111650e+02,8.128890219784801729e+02
1.641670100000000048e+02,4.572639166666666597e+02,8.206465292700860346e+02
1.650003399999999942e+02,4.595787222222222113e+02,8.284406875030505262e+02
1.658336700000000121e+02,4.618935277777778197e+02,8.362714966773738752e+02
1.666670000000000016e+02,4.642083333333333144e+02,8.441389567930555131e+02
1.675003300000000195e+02,4.665231388888889228e+02,8.520430678500961221e+02
1.683336600000000089e+02,4.688379444444444175e+02,8.599838298484951338e+02
1.691669899999999984e+02,4.711527500000000259e+02,8.679612427882526617e+02
1.700003200000000163e+02,4.734675555555556343e+02,8.759753066693690471e+02
1.708336500000000058e+02,4.757823611111111290e+02,8.840260214918437214e+02
1.716669799999999952e+02,4.780971666666666806e+02,8.921133872556771394e+02
1.725003100000000131e+02,4.804119722222222890e+02,9.002374039608695284e+02
1.733336400000000026e+02,4.827267777777777269e+02,9.083980716074198654e+02
1.741669700000000205e+02,4.850415833333333921e+02,9.165953901953294007e+02
1.750003000000000100e+02,4.873563888888888869e+02,9.248293597245973388e+02
1.758336299999999994e+02,4.896711944444444953e+02,9.330999801952237931e+02
1.766669600000000173e+02,4.919860000000000468e+02,9.414072516072089911e+02
1.775002900000000068e+02,4.943008055555556552e+02,9.497511739605527055e+02
1.783336199999999963e+02,4.966156111111110931e+02,9.581317472552549361e+02
1.791669500000000141e+02,4.989304166666666447e+02,9.665489714913160242e+02
1.800002800000000036e+02,5.012452222222222531e+02,9.750028466687355149e+02
1.808336100000000215e+02,5.035600277777778615e+02,9.834933727875138629e+02
1.816669400000000110e+02,5.058748333333333562e+02,9.920205498476507273e+02
1.825002700000000004e+02,5.081896388888888509e+02,1.000584377849145994e+03
1.833336000000000183e+02,5.105044444444444594e+02,1.009184856792000119e+03
1.841669300000000078e+02,5.128192500000000109e+02,1.017821986676212759e+03
1.850002599999999973e+02,5.151340555555555056e+02,1.026495767501783803e+03
1.858335900000000152e+02,5.174488611111112277e+02,1.035206199268713817e+03
1.866669200000000046e+02,5.197636666666667224e+02,1.043953281977002234e+03
1.875002499999999941e+02,5.220784722222221035e+02,1.052737015626649281e+03
1.883335800000000120e+02,5.243932777777778256e+02,1.061557400217655186e+03
1.891669100000000014e+02,5.267080833333333203e+02,1.070414435750019493e+03
1.900002400000000193e+02,5.290228888888889287e+02,1.079308122223742430e+03
1.908335700000000088e+02,5.313376944444445371e+02,1.088238459638823770e+03
1.916668999999999983e+02,5.336525000000000318e+02,1.097205447995263739e+03
1.925002300000000162e+02,5.359673055555556402e+02,1.106209087293062794e+03
1.933335600000000056e+02,5.382821111111111350e+02,1.115249377532220024e+03
1.941668899999999951e+02,5.405969166666666297e+02,1.124326318712735883e+03
1.950002200000000130e+02,5.429117222222222381e+02,1.133439910834610600e+03
1.958335500000000025e+02,5.452265277777777328e+02,1.142590153897843720e+03
1.966668800000000203e+02,5.475413333333334549e+02,1.151777047902435697e+03
1.975002100000000098e+02,5.498561388888888359e+02,1.161000592848386077e+03
1.983335399999999993e+02,5.521709444444444443e+02,1.170260788735695087e+03
1.991668700000000172e+02,5.544857500000000528e+02,1.179557635564362727e+03
2.000002000000000066e+02,5.568005555555556612e+02,1.188891133334388769e+03
2.008335299999999961e+02,5.591153611111110422e+02,1.198261282045773669e+03
2.016668600000000140e+02,5.614301666666666506e+02,1.207668081698517426e+03
2.025001900000000035e+02,5.637449722222222590e+02,1.217111532292619358e+03
2.033335200000000214e+02,5.660597777777778674e+02,1.226591633828080148e+03
2.041668500000000108e+02,5.683745833333333621e+02,1.236108386304899341e+03
2.050001800000000003e+02,5.706893888888889705e+02,1.245661789723077163e+03
2.058335100000000182e+02,5.730041944444444653e+02,1.255251844082613843e+03
2.066668400000000076e+02,5.753190000000000737e+02,1.264878549383508926e+03
2.075001699999999971e+02,5.776338055555555684e+02,1.274541905625762411e+03
2.083335000000000150e+02,5.799486111111111768e+02,1.284241912809374980e+03
2.091668300000000045e+02,5.822634166666666715e+02,1.293978570934346180e+03
2.100001600000000224e+02,5.845782222222222799e+02,1.303751880000676010e+03
2.108334900000000118e+02,5.868930277777777746e+02,1.313561840008363788e+03
2.116668200000000013e+02,5.892078333333332694e+02,1.323408450957410423e+03
2.125001500000000192e+02,5.915226388888888778e+02,1.333291712847816143e+03
2.133334800000000087e+02,5.938374444444444862e+02,1.343211625679580038e+03
2.141668099999999981e+02,5.961522500000000946e+02,1.353168189452702563e+03
2.150001400000000160e+02,5.984670555555557030e+02,1.363161404167183946e+03
2.158334700000000055e+02,6.007818611111110840e+02,1.373191269823023731e+03
2.166667999999999950e+02,6.030966666666666924e+02,1.383257786420222146e+03
2.175001300000000128e+02,6.054114722222223008e+02,1.393360953958779646e+03
2.183334600000000023e+02,6.077262777777777956e+02,1.403500772438695094e+03
2.191667900000000202e+02,6.100410833333334040e+02,1.413677241859969627e+03
2.200001200000000097e+02,6.123558888888888987e+02,1.423890362222602107e+03
2.208334499999999991e+02,6.146706944444443934e+02,1.434140133526593900e+03
2.216667800000000170e+02,6.169855000000000018e+02,1.444426555771943868e+03
2.225001100000000065e+02,6.193003055555556102e+02,1.454749628958652693e+03
2.233334399999999960e+02,6.216151111111111049e+02,1.465109353086720148e+03
2.241667700000000139e+02,6.239299166666667134e+02,1.475505728156146006e+03
2.250001000000000033e+02,6.262447222222222081e+02,1.485938754166930494e+03
2.258334300000000212e+02,6.285595277777778165e+02,1.496408431119074066e+03
2.266667600000000107e+02,6.308743333333333112e+02,1.506914759012575587e+03
2.275000900000000001e+02,6.331891388888889196e+02,1.517457737847435965e+03
2.283334200000000180e+02,6.355039444444445280e+02,1.528037367623655200e+03
2.291667500000000075e+02,6.378187500000001364e+02,1.538653648341232838e+03
2.300000799999999970e+02,6.401335555555555175e+02,1.549306580000168879e+03
2.308334100000000149e+02,6.424483611111111259e+02,1.559996162600463549e+03
2.316667400000000043e+02,6.447631666666667343e+02,1.570722396142117077e+03
2.325000700000000222e+02,6.470779722222222290e+02,1.581485280625129917e+03
2.333334000000000117e+02,6.493927777777778374e+02,1.592284816049500023e+03
