ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
3.166054502866813038e-03,1.153568491890238024e+00,1.234702775685609044e+00,-6.778414680172040185e-02,-5.492098500695449248e-01,2.521535437848617534e+01,2.609598341914824005e+01,1.585523617030472288e+00,9.036237946768248934e-15
3.453877639491068768e-03,1.153548984317959825e+00,1.234544757702622286e+00,-6.776835156497440504e-02,-5.488116023399685073e-01,2.519659611111512376e+01,2.607725323786800331e+01,1.585208433499349256e+00,7.863581556450164965e-15
3.741700776115324499e-03,1.153529481289813363e+00,1.234386854306932069e+00,-6.775257094657316514e-02,-5.484136159639343422e-01,2.517784821401623674e+01,2.605853339775108068e+01,1.584893490969601970e+00,1.056420294621562305e-14
4.029523912739580230e-03,1.153509982801590450e+00,1.234229065423331662e+00,-6.773680494438961974e-02,-5.480158908204252333e-01,2.515911068183204691e+01,2.603982389346985471e+01,1.584578789277438560e+00,1.291324881747884784e-15
4.317347049363835960e-03,1.153490488849082451e+00,1.234071390976648752e+00,-6.772105355632529466e-02,-5.476184267884448564e-01,2.514038350919975429e+01,2.602112471969133978e+01,1.584264328259152865e+00,1.843278971200708416e-14
4.605170185988091691e-03,1.153470999428087840e+00,1.233913830891748775e+00,-6.770531678025461242e-02,-5.472212237469948892e-01,2.512166669077288006e+01,2.600243587109883237e+01,1.583950107751133984e+00,4.540218007377553217e-15
4.892993322612347422e-03,1.153451514534397537e+00,1.233756385093528252e+00,-6.768959461409722322e-02,-5.468242815751022112e-01,2.510296022119322146e+01,2.598375734236388368e+01,1.583636127589850950e+00,9.003162400389120341e-16
5.180816459236603153e-03,1.153432034163808906e+00,1.233599053506921672e+00,-6.767388705577472019e-02,-5.464276001518042492e-01,2.508426409510766319e+01,2.596508912816310044e+01,1.583322387611864723e+00,1.017862467848015579e-14
5.468639595860858883e-03,1.153412558312117753e+00,1.233441836056896390e+00,-6.765819410319424965e-02,-5.460311793561414273e-01,2.506557830717446222e+01,2.594643122318442252e+01,1.583008887653825525e+00,1.718813483300524788e-14
5.756462732485114614e-03,1.153393086975117443e+00,1.233284732668454620e+00,-6.764251575432202179e-02,-5.456350190671844791e-01,2.504690285203482958e+01,2.592778362209873677e+01,1.582695627552464845e+00,5.951908864645589567e-15
6.044285869109370345e-03,1.153373620148609113e+00,1.233127743266634768e+00,-6.762685200709322997e-02,-5.452391191640031387e-01,2.502823772434783578e+01,2.590914631959473269e+01,1.582382607144607878e+00,3.132932940947474872e-15
6.332109005733626075e-03,1.153354157828387461e+00,1.232970867776508328e+00,-6.761120285946377317e-02,-5.448434795256822394e-01,2.500958291877031314e+01,2.589051931035884380e+01,1.582069826267165968e+00,1.139731371891582737e-14
6.619932142357881806e-03,1.153334700010253400e+00,1.232814106123183651e+00,-6.759556830941464145e-02,-5.444481000313265984e-01,2.499093842995525350e+01,2.587190258907363472e+01,1.581757284757137505e+00,1.508059993932086626e-14
6.907755278982137537e-03,1.153315246690000739e+00,1.232657458231800840e+00,-6.757994835493671970e-02,-5.440529805600516911e-01,2.497230425255767727e+01,2.585329615042366669e+01,1.581444982451605252e+00,2.240795731085668031e-14
7.195578415606393267e-03,1.153295797863434169e+00,1.232500924027538414e+00,-6.756434299398898780e-02,-5.436581209909724377e-01,2.495368038125072019e+01,2.583469998911157717e+01,1.581132919187750119e+00,2.468283917225395183e-15
7.483401552230648998e-03,1.153276353526353715e+00,1.232344503435608196e+00,-6.754875222459914841e-02,-5.432635212032379535e-01,2.493506681068684117e+01,2.581611409981930194e+01,1.580821094802829840e+00,1.743664291015112321e-14
7.771224688854904729e-03,1.153256913674554296e+00,1.232188196381253986e+00,-6.753317604478849268e-02,-5.428691810760024605e-01,2.491646353552683024e+01,2.579753847723709725e+01,1.580509509134189416e+00,3.135025823437074800e-15
8.059047825479160460e-03,1.153237478303844155e+00,1.232032002789760217e+00,-6.751761445256965199e-02,-5.424751004884290628e-01,2.489787055044065411e+01,2.577897311606433206e+01,1.580198162019270658e+00,8.700663190631755191e-15
8.346870962103417058e-03,1.153218047410018654e+00,1.231875922586439520e+00,-6.750206744597868347e-02,-5.420812793196960744e-01,2.487928785009508559e+01,2.576041801099717077e+01,1.579887053295593979e+00,1.450271552198331142e-14
8.634694098727671921e-03,1.153198620988881151e+00,1.231719955696643831e+00,-6.748653502307387642e-02,-5.416877174490006830e-01,2.486071542915420096e+01,2.574187315672905996e+01,1.579576182800770612e+00,1.803240411135230418e-15
8.922517235351926784e-03,1.153179199036237002e+00,1.231564102045759057e+00,-6.747101718189800479e-02,-5.412944147555441843e-01,2.484215328229388220e+01,2.572333854796519503e+01,1.579265550372501714e+00,4.547806300627853519e-15
