ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
2.993360620892259599e-02,4.360685375512267512e-09,2.856860812387403496e-06,5.373792727313323091e-06,1.014677305179100264e+00,-1.300080090089496309e-03,-1.300080090089496309e-03,4.360685375512267512e-09,5.378153412688835577e-06,1.014661170718862193e+00,-1.321592703740251742e-03,-1.321592703740251742e-03,6.806785661141703970e-09,5.312337896809158907e-06,5.312337896809158907e-06,3.782968365127038846e-08
3.223619130191664184e-02,4.385629795225821030e-09,3.429901824357387918e-05,5.325759825511503039e-06,1.016372712254761446e+00,-1.125134190594894107e-03,-1.125134190594894107e-03,4.385629795225821030e-09,5.330145455306728673e-06,1.016356721818395537e+00,-1.146454772416120958e-03,-1.146454772416120958e-03,6.844981437063277502e-09,4.595039957182402663e-06,4.595039957182402663e-06,1.036907447784247324e-09
3.453877639491068768e-02,4.356905093848804645e-09,6.499405268111732993e-05,5.206171144035284592e-06,1.018036854899999399e+00,-7.157282761809893217e-04,-7.157282761809893217e-04,4.356905093848804645e-09,5.210528049129133477e-06,1.018021223315852097e+00,-7.365703883775058048e-04,-7.365703883775058048e-04,6.798414819182057613e-09,4.050220458785730718e-06,4.050220458785730718e-06,-3.572922005461557850e-08
3.684136148790473353e-02,4.274912165146526053e-09,9.445182817891686444e-05,5.017376040746546816e-06,1.019647686520302354e+00,-1.989180232481532621e-04,-1.989180232481532621e-04,4.274912165146526053e-09,5.021650952911693414e-06,1.019632621567443609e+00,-2.190046270598000459e-04,-2.190046270598000459e-04,6.667907827708964924e-09,3.778690206958503088e-06,3.778690206958503088e-06,-7.187270987240963182e-08
3.914394658089877937e-02,4.140903754007266961e-09,1.221915689651703976e-04,4.762846475605995833e-06,1.021184258265348532e+00,2.748330297995199372e-04,2.748330297995199372e-04,4.140903754007266961e-09,4.766987379360002886e-06,1.021169957303210474e+00,2.557650802820799494e-04,2.557650802820799494e-04,6.455670636235368123e-09,3.799778009584595226e-06,3.799778009584595226e-06,-1.067897015416015678e-07
4.144653167389282522e-02,3.957007210724408330e-09,1.477829560191608652e-04,4.447106605902244549e-06,1.022627052231944944e+00,5.678185665842985655e-04,5.678185665842985655e-04,3.957007210724408330e-09,4.451063613112969285e-06,1.022613699041105662e+00,5.500143121318466647e-04,5.500143121318466647e-04,6.165261587530031368e-09,4.048108046318447127e-06,4.048108046318447127e-06,-1.399176595389788465e-07
4.374911676688687107e-02,3.726172862726411378e-09,1.708802932168830557e-04,4.075574221441620927e-06,1.023958273551465847e+00,5.877801193106735236e-04,5.877801193106735236e-04,3.726172862726411378e-09,4.079300394304346991e-06,1.023946035650282971e+00,5.714629177334560814e-04,5.714629177334560814e-04,5.801439309045794435e-09,4.390611639685203407e-06,4.390611639685203407e-06,-1.707783034261179331e-07
4.605170185988091691e-02,3.452054081144999393e-09,1.912426522097854156e-04,3.654338771327656094e-06,1.025162077982473718e+00,3.094651333683763259e-04,3.094651333683763259e-04,3.452054081144999393e-09,3.657790825408800984e-06,1.025151104609997477e+00,2.948339700667411151e-04,2.948339700667411151e-04,5.369932233692200582e-09,4.659501117349070486e-06,4.659501117349070486e-06,-1.990053831130384664e-07
4.835428695287496276e-02,3.138839522725546698e-09,2.087363706164557938e-04,3.189913264215303906e-06,1.026224721968620468e+00,-2.198543509175297480e-04,-2.198543509175297480e-04,3.138839522725546698e-09,3.193052103738029521e-06,1.026215142812309189e+00,-2.326265593324818796e-04,-2.326265593324818796e-04,4.877167246078430161e-09,4.693236897209450631e-06,4.693236897209450631e-06,-2.243521639686010533e-07
5.065687204586900860e-02,2.791067324200257315e-09,2.233204214206568579e-04,2.689000894806404659e-06,1.027134634755864750e+00,-8.919616037296219935e-04,-8.919616037296219935e-04,2.791067324200257315e-09,2.691791962130604925e-06,1.027126559379978321e+00,-9.027287715781443607e-04,-9.027287715781443607e-04,4.330005521131862997e-09,4.375758096558170285e-06,4.375758096558170285e-06,-2.466782855726048688e-07
5.295945713886305445e-02,2.413453269149025602e-09,2.350190007723471054e-04,2.158311453553947356e-06,1.027882424137108286e+00,-1.563414624608308167e-03,-1.563414624608308167e-03,2.413453269149025602e-09,2.160724906823096481e-06,1.027875941962387740e+00,-1.572057524235600644e-03,-1.572057524235600644e-03,3.735528822485015520e-09,3.664795775929344294e-06,3.664795775929344294e-06,-2.659203463821039999e-07
5.526204223185710029e-02,2.010759894654207319e-09,2.438883289051597199e-04,1.604449190553244411e-06,1.028460836056133143e+00,-2.089199125489477234e-03,-2.089199125489477234e-03,2.010759894654207319e-09,1.606459950447898718e-06,1.028456016676281726e+00,-2.095624965291268717e-03,-2.095624965291268717e-03,3.100905131054362268e-09,2.602771854265007447e-06,2.602771854265007447e-06,-2.820540639484716899e-07
5.756462732485114614e-02,1.587722601859309051e-09,2.499855744787203311e-04,1.033876265212422041e-06,1.028864691904035400e+00,-2.356372041991629165e-03,-2.356372041991629165e-03,1.587722601859309051e-09,1.035463987814281352e-06,1.028861585512071963e+00,-2.360513897942886127e-03,-2.360513897942886127e-03,2.433342183102450062e-09,1.307937401993341841e-06,1.307937401993341841e-06,-2.950574084888483538e-07
5.986721241784519199e-02,1.149034807644500464e-09,2.533468730872571106e-04,4.529384398022605658e-07,1.029090825379426866e+00,-2.309894018383911417e-03,-2.309894018383911417e-03,1.149034807644500464e-09,4.540874746099050749e-07,1.029089463117003111e+00,-2.311710368282351036e-03,-2.311710368282351036e-03,1.740116220544498772e-09,-5.197270967765027471e-08,-5.197270967765027471e-08,-3.048834310874381188e-07
6.216979751083923783e-02,6.993803521155298499e-10,2.539789245041726255e-04,-1.320737402100190186e-07,1.029138034055089967e+00,-1.964793463385743674e-03,-1.964793463385743674e-03,6.993803521155298499e-10,-1.313743598579034779e-07,1.029138428178169473e+00,-1.964267965946312096e-03,-1.964267965946312096e-03,1.028645925690245725e-09,-1.297276963710889158e-06,-1.297276963710889158e-06,-3.114488548020851686e-07
6.447238260383328368e-02,2.434909011558942587e-10,2.518652664641799735e-04,-7.148615300197401308e-07,1.029007051138159934e+00,-1.402061167783089741e-03,-1.402061167783089741e-03,2.434909011558942587e-10,-7.146180391185841986e-07,1.029009194992277276e+00,-1.399202695626615336e-03,-1.399202695626615336e-03,3.065719479924121375e-10,-2.276293361491394808e-06,-2.276293361491394808e-06,-3.146405581834407371e-07
6.677496769682733646e-02,-2.137987952894564589e-10,2.469848528786065573e-04,-1.289084017699157313e-06,1.028700532733465511e+00,-7.494629607054276469e-04,-7.494629607054276469e-04,-2.137987952894564589e-10,-1.289297816494446804e-06,1.028704400626915039e+00,-7.443057694394498817e-04,-7.443057694394498817e-04,-4.181974856803253219e-10,-2.898487844307562981e-06,-2.898487844307562981e-06,-3.143378107313277084e-07
6.907755278982137537e-02,-6.675233255459694085e-10,2.393378046828690869e-04,-1.848376414955534003e-06,1.028223047612039087e+00,-1.518962131429608248e-04,-1.518962131429608248e-04,-6.675233255459694085e-10,-1.849043938281079979e-06,1.028228594743853863e+00,-1.445000373898364956e-04,-1.445000373898364956e-04,-1.137505053516544349e-09,-3.153316496417583501e-06,-3.153316496417583501e-06,-3.104445067928079159e-07
7.138013788281541427e-02,-1.112604791535866673e-09,2.289717424671665108e-04,-2.386429610878149315e-06,1.027581051884581598e+00,2.617749766927518398e-04,2.617749766927518398e-04,-1.112604791535866673e-09,-2.387542215669685363e-06,1.027588214511228504e+00,2.713251455554306049e-04,2.713251455554306049e-04,-1.843041001127754457e-09,-3.110640957547668360e-06,-3.110640957547668360e-06,-3.029234835651048572e-07
7.368272297580946706e-02,-1.543923404178893116e-09,2.160022167244759269e-04,-2.897124629734920144e-06,1.026782830977388317e+00,4.077922791792511974e-04,4.077922791792511974e-04,-1.543923404178893116e-09,-2.898668553139098950e-06,1.026791526983047653e+00,4.193869533918076118e-04,4.193869533918076118e-04,-2.526513149783198822e-09,-2.902865053569791388e-06,-2.902865053569791388e-06,-2.918247309210297265e-07
7.598530806880351984e-02,-1.956434547959388274e-09,2.006223217801912423e-04,-3.374702270324697414e-06,1.025838395709055106e+00,2.659375255729510982e-04,2.659375255729510982e-04,-1.956434547959388274e-09,-3.376658704872656878e-06,1.025848525685169710e+00,2.794441603924417358e-04,2.794441603924417358e-04,-3.179868068653105103e-09,-2.693099078984876904e-06,-2.693099078984876904e-06,-2.773008913631208318e-07
7.828789316179755875e-02,-2.345315422256522853e-09,1.830991871607039981e-04,-3.813939770800201002e-06,1.024759326886760080e+00,-1.166856905899929585e-04,-1.166856905899929585e-04,-2.345315422256522853e-09,-3.816285086222457637e-06,1.024770775742018802e+00,-1.014205502451031313e-04,-1.014205502451031313e-04,-3.795529324603075537e-09,-2.636763713578450106e-06,-2.636763713578450106e-06,-2.596064721783251519e-07
8.059047825479159766e-02,-2.706117496852804611e-09,1.637580489287609857e-04,-4.210304516214663585e-06,1.023558571831123309e+00,-6.371510162219843395e-04,-6.371510162219843395e-04,-2.706117496852804611e-09,-4.213010633711516223e-06,1.023571210863024383e+00,-6.202989736871383254e-04,-6.202989736871383254e-04,-4.366614747076856154e-09,-2.845416373073831094e-06,-2.845416373073831094e-06,-2.390809101623022194e-07
8.289306334778565044e-02,-3.034899607591023465e-09,1.429573208270721370e-04,-4.560059700816110846e-06,1.022250204533469597e+00,-1.160658922655314739e-03,-1.160658922655314739e-03,-3.034899607591023465e-09,-4.563094600423702275e-06,1.022263893817270786e+00,-1.142406544253619927e-03,-1.142406544253619927e-03,-4.887099202050755648e-09,-3.360945185986774524e-06,-3.360945185986774524e-06,-2.161191802435368175e-07
8.519564844077970323e-02,-3.328320680597899454e-09,1.210599199808190854e-04,-4.860307081939988496e-06,1.020849166941386388e+00,-1.551358152688388919e-03,-1.551358152688388919e-03,-3.328320680597899454e-09,-4.863635402620586098e-06,1.020863757847594311e+00,-1.531903611077906633e-03,-1.531903611077906633e-03,-5.351901127741561972e-09,-4.145815300277940514e-06,-4.145815300277940514e-06,-1.911362366202548120e-07
8.749823353377374213e-02,-3.583679683399115503e-09,9.840669095658242905e-05,-5.108965009463330557e-06,1.019371010996534599e+00,-1.703020951549753239e-03,-1.703020951549753239e-03,-3.583679683399115503e-09,-5.112548689146729486e-06,1.019386348642602025e+00,-1.682570756793166315e-03,-1.682570756793166315e-03,-5.756887164136321745e-09,-5.091359767571296968e-06,-5.091359767571296968e-06,-1.645326798022001901e-07
8.980081862676778104e-02,-3.798901394909189520e-09,7.529704720820408264e-05,-5.304692775848251779e-06,1.017831659219531781e+00,-1.562714997279399456e-03,-1.562714997279399456e-03,-3.798901394909189520e-09,-5.308491677243160566e-06,1.017847584694563601e+00,-1.541481030570426760e-03,-1.541481030570426760e-03,-6.098805885866810966e-09,-6.042035892701051999e-06,-6.042035892701051999e-06,-1.366684722071109987e-07
9.210340371976183382e-02,-3.972477460080735075e-09,5.198013645862575795e-05,-5.446782190620739701e-06,1.016247196442237266e+00,-1.142302185533881865e-03,-1.142302185533881865e-03,-3.972477460080735075e-09,-5.450754668080820351e-06,1.016263548706241471e+00,-1.120499166861558486e-03,-1.120499166861558486e-03,-6.375175223864806310e-09,-6.830035115236900975e-06,-6.830035115236900975e-06,-1.078494753033005328e-07
9.440598881275588661e-02,-4.103380575987845275e-09,2.865739021046504831e-05,-5.535042126910253872e-06,1.014633698025178221e+00,-5.153958886735997497e-04,-5.153958886735997497e-04,-4.103380575987845275e-09,-5.539145507486241857e-06,1.014650315461700592e+00,-4.932393066436548297e-04,-4.932393066436548297e-04,-6.584155776765519447e-09,-7.312415798529584049e-06,-7.312415798529584049e-06,-7.832856750042217206e-08
9.670857390574992551e-02,-4.190973817368112825e-09,5.494806277640733945e-06,-5.569700807556854151e-06,1.013007092245405527e+00,1.993243839647298749e-04,1.993243839647298749e-04,-4.190973817368112825e-09,-5.573891781374222385e-06,1.013023813920749694e+00,2.216199510902267509e-04,2.216199510902267509e-04,-6.724442443986439908e-09,-7.402488720920353406e-06,-7.402488720920353406e-06,-4.831982831883409035e-08
9.901115899874396442e-02,-4.234936319156419295e-09,-1.735871026395288918e-05,-5.551344302370500350e-06,1.011383048167894261e+00,8.645429933234721320e-04,8.645429933234721320e-04,-4.234936319156419295e-09,-5.555579238689656849e-06,1.011399714905610425e+00,8.867653102782307051e-04,8.867653102782307051e-04,-6.795199918163981972e-09,-7.088584259312643204e-06,-7.088584259312643204e-06,-1.802147058902381702e-08
1.013137440917380172e-01,-4.235221169710319925e-09,-3.975174147582832016e-05,-5.480899740070737224e-06,1.009776876519426159e+00,1.354509382124286475e-03,1.354509382124286475e-03,-4.235221169710319925e-09,-5.485134961240447546e-06,1.009793331924309978e+00,1.376449921969248201e-03,1.376449921969248201e-03,-6.796055365922471128e-09,-6.436220174730721784e-06,-6.436220174730721784e-06,1.235853750706092769e-08
