-2.302585092994045723e+01,9.840211446892306313e+00,1.799556560831240250e+15,-3.750000000000033862e-01,-2.734065619573233500e+15,7.999999999999908961e+30,3.599113121662480500e+15,9.840211446892284459e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.392036739882341294e+02,2.000000000000000000e+00,2.332036739882341294e+02,3.038599262820981028e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.249999999999985775e+29,9.999999999999886201e+29,7.999999999999908961e+30,6.399999999999927169e+31,5.119999999999941735e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.301839386851714053e+01,9.837415048858563438e+00,1.779283487352261750e+15,-3.750000000000033307e-01,-2.703274633540566500e+15,7.823017560362084201e+30,3.558566974704523500e+15,9.619783834473933112e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.391365715489219781e+02,2.000000000000000000e+00,2.331365715489219497e+02,3.038610376318715556e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.222346493806575656e+29,9.778771950452605251e+29,7.823017560362084201e+30,6.258414048289667361e+31,5.006731238631733888e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.301093680709382383e+01,9.834618650824818786e+00,1.759238729168317250e+15,-3.750000000000033862e-01,-2.672830309714946500e+15,7.649950468716671949e+30,3.518477458336634500e+15,9.404293194690964499e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.390694691160113621e+02,2.000000000000000000e+00,2.330694691160113621e+02,3.038621496217890350e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.195304760736979992e+29,9.562438085895839936e+29,7.649950468716671949e+30,6.119960374973337559e+31,4.895968299978670047e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.300347974567050713e+01,9.831822252791075911e+00,1.739419715773446500e+15,-3.750000000000034972e-01,-2.642728746305341500e+15,7.480712106583919034e+30,3.478839431546893000e+15,9.193628969529507766e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.390023666895076246e+02,2.000000000000000000e+00,2.330023666895076246e+02,3.038632622524036986e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.168861266653737349e+29,9.350890133229898792e+29,7.480712106583919034e+30,5.984569685267135227e+31,4.787655748213708182e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.299602268424719398e+01,9.829025854757333036e+00,1.719823905593541500e+15,-3.750000000000032752e-01,-2.612966085424455000e+15,7.315217771727489427e+30,3.439647811187083000e+15,8.987683076436306992e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.389352642694164501e+02,2.000000000000000000e+00,2.329352642694164501e+02,3.038643755242690592e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.143002776832420223e+29,9.144022214659361784e+29,7.315217771727489427e+30,5.852174217381991541e+31,4.681739373905593233e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.298856562282387728e+01,9.826229456723590161e+00,1.700448785660847750e+15,-3.750000000000033862e-01,-2.583538512594923000e+15,7.153384635762200297e+30,3.400897571321695500e+15,8.786349852900138714e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.388681618557433524e+02,2.000000000000000000e+00,2.328681618557433808e+02,3.038654894379402283e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.117716349337843796e+29,8.941730794702750371e+29,7.153384635762200297e+30,5.722707708609760238e+31,4.578166166887808190e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.298110856140056057e+01,9.823433058689845510e+00,1.681291871292055750e+15,-3.750000000000033862e-01,-2.554442256260935500e+15,6.995131702698983042e+30,3.362583742584111500e+15,8.589526002272898180e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.388010594484938451e+02,2.000000000000000000e+00,2.328010594484938736e+02,3.038666039939719177e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.092989328546716100e+29,8.743914628373728803e+29,6.995131702698983042e+30,5.596105362159186434e+31,4.476884289727349147e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.297365149997724387e+01,9.820636660656100858e+00,1.662350705770071000e+15,-3.750000000000033862e-01,-2.525673587305462500e+15,6.840379768407440358e+30,3.324701411540142000e+15,8.397110540804125338e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.387339570476734139e+02,2.000000000000000000e+00,2.327339570476734139e+02,3.038677191929200827e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.068809338813662556e+29,8.550474710509300448e+29,6.840379768407440358e+30,5.472303814725952287e+31,4.377843051780761829e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.296619443855392717e+01,9.817840262622357983e+00,1.643622860029303500e+15,-3.750000000000033862e-01,-2.497228818572801000e+15,6.689051380974692820e+30,3.287245720058607000e+15,8.209004745860451542e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.386668546532878565e+02,2.000000000000000000e+00,2.326668546532878565e+02,3.038688350353412559e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.045164278277295753e+29,8.361314226218366025e+29,6.689051380974692820e+30,5.351241104779754256e+31,4.280992883823803405e+32,0.000000000000000000e+00,0.000000000000000000e+00
-2.295873737713061047e+01,9.815043864588615108e+00,1.625105932344501000e+15,-3.750000000000033307e-01,-2.469104304396504000e+15,6.541070801941233932e+30,3.250211864689002000e+15,8.025112105304202987e+30,6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.385997522653425165e+02,2.000000000000000000e+00,2.325997522653425165e+02,3.038699515217924585e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.022042312803317802e+29,8.176338502426542416e+29,6.541070801941233932e+30,5.232856641552987146e+31,4.186285313242389717e+32,0.000000000000000000e+00,0.000000000000000000e+00
