ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-1.606391229150988531e-08,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.283709944276759343e-03
2.302585092994045846e-03,6.332831083973785446e-06,3.501466472686941801e-06,3.517253082160138390e-06,1.000010551759244803e+00,1.406901232379652121e-05,1.406901232379652121e-05,6.332831083973785446e-06,9.850084166133923837e-06,9.999810015067462921e-01,-2.533132434073917413e-05,-2.533132434073917413e-05,9.854098712975852055e-06,9.858156091132589429e-06,9.858156091132589429e-06,4.279856555885500242e-03
4.605170185988091691e-03,1.265528947488391819e-05,7.002408126891293078e-06,7.017920076617208930e-06,1.000021053760215439e+00,2.807168026769177581e-05,2.807168026769177581e-05,1.265528947488391819e-05,1.967320955150112712e-05,9.999620341315609284e-01,-5.062115793831273265e-05,-5.062115793831273265e-05,1.968931069544295253e-05,1.970553403288581969e-05,1.970553403288581969e-05,4.276036990533475107e-03
6.907755278982137537e-03,1.896746120206740154e-05,1.048691446385518561e-05,1.050215437441385849e-05,1.000031506463074482e+00,4.200861736699665805e-05,4.200861736699665805e-05,1.896746120206740154e-05,2.946961557648126003e-05,9.999430976163450335e-01,-7.586984493892838207e-05,-7.586984493892838207e-05,2.950582922666747084e-05,2.954231810751336949e-05,2.954231810751336949e-05,4.272251378448937466e-03
9.210340371976183382e-03,2.526943223794804818e-05,1.395513782293052900e-05,1.397010829259918887e-05,1.000041910324762418e+00,5.588043286137021524e-05,5.588043286137021524e-05,2.526943223794804818e-05,3.923954053054723706e-05,9.999241917031708171e-01,-1.010777292608187330e-04,-1.010777292608187330e-04,3.930384697076151694e-05,3.936869233506711077e-05,3.936869233506711077e-05,4.268499852317566602e-03
1.151292546497022923e-02,3.156128850211555362e-05,1.740722947967453539e-05,1.742193308461596930e-05,1.000052265799029172e+00,6.968773173636586167e-05,6.968773173636586167e-05,3.156128850211555362e-05,4.898322158673152293e-05,9.999053161342689178e-01,-1.262451546105602300e-04,-1.262451546105602300e-04,4.908355598654314531e-05,4.918484048152217740e-05,4.918484048152217740e-05,4.264782547313969267e-03
1.381551055796427507e-02,3.784311586545644032e-05,2.084333965622577986e-05,2.085777895067557537e-05,1.000062573336464755e+00,8.343111476492929808e-05,8.343111476492929808e-05,3.784311586545644032e-05,5.870089481613201569e-05,9.998864706520164125e-01,-1.513724644995987647e-04,-1.513724644995987647e-04,5.884514773748063862e-05,5.899094606700336607e-05,5.899094606700336607e-05,4.261099601124886810e-03
1.611809565095832092e-02,4.411500015431212381e-05,2.426361753165298134e-05,2.427779504810606348e-05,1.000072833384531235e+00,9.711117854878858688e-05,9.711117854878858688e-05,4.411500015431212381e-05,6.839279520241818729e-05,9.998676549989239382e-01,-1.764600022608841623e-04,-1.764600022608841623e-04,6.858881310168065922e-05,6.878719237407260833e-05,6.878719237407260833e-05,4.257451153981552106e-03
1.842068074395236676e-02,5.037702715468823613e-05,2.766821125229548258e-05,2.768212950168826659e-05,1.000083046387592489e+00,1.107285155597968274e-04,1.107285155597968274e-04,5.037702715468823613e-05,7.805915665637650272e-05,9.998488689176233679e-01,-2.015081110657091835e-04,-2.015081110657091835e-04,7.831474238195935576e-05,7.857376245611706329e-05,7.857376245611706329e-05,4.253837348693599064e-03
2.072326583694641261e-02,5.662928261652937749e-05,3.105726794209783475e-05,3.107092941398702121e-05,1.000093212786946628e+00,1.242837141812542720e-04,1.242837141812542720e-04,5.662928261652937749e-05,8.770021203051639870e-05,9.998301121508551548e-01,-2.265171339408113228e-04,-2.265171339408113228e-04,8.802312531601804097e-05,8.835083914585858684e-05,8.835083914585858684e-05,4.250258330673739940e-03
2.302585092994045846e-02,6.287185225798796583e-05,3.443093371288896237e-05,3.444434087563737960e-05,1.000103333020855745e+00,1.377773587490527685e-04,1.377773587490527685e-04,6.287185225798796583e-05,9.731619313362534543e-05,9.998113844414548979e-01,-2.514874137854486132e-04,-2.514874137854486132e-04,9.771415108661107005e-05,9.811860506387333806e-05,9.811860506387333806e-05,4.246714247974163296e-03
2.532843602293450430e-02,6.910482176978666657e-05,3.778935367469258720e-05,3.780250897564299225e-05,1.000113407524577225e+00,1.512100295928652514e-04,1.512100295928652514e-04,6.910482176978666657e-05,1.069073307454296588e-04,9.997926855323409079e-01,-2.764192933888533839e-04,-2.764192933888533839e-04,1.073880083318626884e-04,1.078772426272777633e-04,1.078772426272777633e-04,4.243205251321406288e-03
