ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-3.123847401417564461e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.580048584626040108e-06
2.302585092994045846e-03,2.333008623762890149e-09,-3.053616022019326132e-04,7.123073706680544546e-07,1.000027600575392972e+00,3.664550181388867285e-05,3.664550181388867285e-05,2.333008623762890149e-09,7.146403792918173001e-07,1.000025456654255018e+00,3.378694029672140407e-05,3.378694029672140407e-05,3.630240445699251222e-09,1.014607579859107782e-08,1.014607579859107782e-08,1.573938175312448823e-06
4.605170185988091691e-03,4.651621463710351726e-09,-2.974751845295309314e-04,1.406714292659371507e-06,1.000105075923457543e+00,1.376494908984532851e-04,1.376494908984532851e-04,4.651621463710351726e-09,1.411365914123081900e-06,1.000100841825715126e+00,1.320040272419609575e-04,1.320040272419609575e-04,7.237080549436449876e-09,5.857203764233537049e-08,5.857203764233537049e-08,1.562951960121589587e-06
6.907755278982137537e-03,6.948712360992988815e-09,-2.887742047517880581e-04,2.081310793584108797e-06,1.000230825520303179e+00,2.955638780945559320e-04,2.955638780945559320e-04,6.948712360992988815e-09,2.088259505945101936e-06,1.000224560741785451e+00,2.872108400707755124e-04,2.872108400707755124e-04,1.080949163509440034e-08,1.804531553924718040e-07,1.804531553924718040e-07,1.547208794005037849e-06
9.210340371976183382e-03,9.217336370292280236e-09,-2.793094881081214045e-04,2.734303274297505961e-06,1.000403128125073815e+00,4.997281813265300274e-04,4.997281813265300274e-04,9.217336370292280236e-09,2.743520610667798322e-06,1.000394897563241736e+00,4.887540988838588816e-04,4.887540988838588816e-04,1.433674873860383650e-08,4.057744373272488115e-07,4.057744373272488115e-07,1.526844284835730836e-06
1.151292546497022923e-02,1.145075704298324912e-08,-2.691335317908488916e-04,3.364018719784172655e-06,1.000620151552166881e+00,7.368856404128044414e-04,7.368856404128044414e-04,1.145075704298324912e-08,3.375469476827155984e-06,1.000610025143736426e+00,7.233837625054957785e-04,7.233837625054957785e-04,1.780846672452769643e-08,7.576439792146969460e-07,7.576439792146969460e-07,1.502009089657659480e-06
1.381551055796427507e-02,1.364247179351634711e-08,-2.583000531695788101e-04,3.968907882790824504e-06,1.000879962594952932e+00,9.919328507312218535e-04,9.919328507312218535e-04,1.364247179351634711e-08,3.982550354584340823e-06,1.000868014943889106e+00,9.760026493128845038e-04,9.760026493128845038e-04,2.121463225544390171e-08,1.250999194850861331e-06,1.250999194850861331e-06,1.472867048716967880e-06
1.611809565095832092e-02,1.578623486800576925e-08,-2.468635364556178271e-04,4.547547421150623682e-06,1.001180537023365069e+00,1.248760519810368595e-03,1.248760519810368595e-03,1.578623486800576925e-08,4.563333656018629756e-06,1.001166847022397111e+00,1.230507185186294076e-03,1.230507185186294076e-03,2.454563132366833409e-08,1.891771364160082798e-06,1.891771364160082798e-06,1.439593225528919812e-06
1.842068074395236676e-02,1.787607751878375693e-08,-2.348787920602085145e-04,5.098641003095680378e-06,1.001519769579019670e+00,1.491138741067771960e-03,1.491138741067771960e-03,1.787607751878375693e-08,5.116517080614464138e-06,1.001504420027777842e+00,1.470672672745314009e-03,1.470672672745314009e-03,2.779227221508874952e-08,2.676548283195186925e-06,2.676548283195186925e-06,1.402371923239819185e-06
2.072326583694641261e-02,1.990632509099180041e-08,-2.224005418721257410e-04,5.621019426623294282e-06,1.001895483895058669e+00,1.703598562094186262e-03,1.703598562094186262e-03,1.990632509099180041e-08,5.640925751714286354e-06,1.001878561117803601e+00,1.681034859087329140e-03,1.681034859087329140e-03,3.094580393533083610e-08,3.592747424315791253e-06,3.592747424315791253e-06,1.361394745852030545e-06
2.302585092994045846e-02,2.187161084119664573e-08,-2.094830420143917757e-04,6.113639827552002006e-06,1.002305442273532243e+00,1.872262630208967014e-03,1.872262630208967014e-03,2.187161084119664573e-08,6.135511438393198778e-06,1.002287035739217069e+00,1.847720584455394199e-03,1.847720584455394199e-03,3.399793028068708670e-08,4.619284454213101325e-06,4.619284454213101325e-06,1.316858767727819705e-06
2.532843602293450430e-02,2.376688642768146075e-08,-1.961797524525346538e-04,6.575584075031568205e-06,1.002747355260481976e+00,1.985581222064545723e-03,1.985581222064545723e-03,2.376688642768146075e-08,6.599350961459249579e-06,1.002727557207597542e+00,1.959183818218708691e-03,1.959183818218708691e-03,3.694081987315187481e-08,5.727695617736221456e-06,5.727695617736221456e-06,1.268964866576230662e-06
2.763102111592855015e-02,2.558742913056835256e-08,-1.825430602623396507e-04,7.006056471762638714e-06,1.003218890967588095e+00,2.034935745405416514e-03,2.034935745405416514e-03,2.558742913056835256e-08,7.031643900893207411e-06,1.003197796035885325e+00,2.006809169801843616e-03,2.006809169801843616e-03,3.976711259331556092e-08,6.883648901482152202e-06,6.883648901482152202e-06,1.217916264430461657e-06
2.993360620892259599e-02,2.732884597211830576e-08,-1.686240605699755525e-04,7.404380888550384980e-06,1.003717684098837548e+00,2.015079506240375923e-03,2.015079506240375923e-03,2.732884597211830576e-08,7.431709734522503584e-06,1.003695388969634061e+00,1.985352667302286035e-03,1.985352667302286035e-03,4.246992293285888894e-08,8.048759071007975869e-06,8.048759071007975869e-06,1.163917308579493870e-06
3.223619130191664184e-02,2.898707500721977219e-08,-1.544723963161464663e-04,7.769997468540298455e-06,1.004241344650686152e+00,1.924394685310467507e-03,1.924394685310467507e-03,2.898707500721977219e-08,7.798984543547517585e-06,1.004217947697055413e+00,1.893198747136277341e-03,1.893198747136277341e-03,4.504284084563788765e-08,9.182606775944454107e-06,9.182606775944454107e-06,1.107172510790549806e-06
3.453877639491068768e-02,3.055838413714804579e-08,-1.401361552167369664e-04,8.102459035712735537e-06,1.004787466264173590e+00,1.764954564269948910e-03,1.764954564269948910e-03,3.055838413714804579e-08,8.133017419849882868e-06,1.004763067211914107e+00,1.732422494590549460e-03,1.732422494590549460e-03,4.747993070186307054e-08,1.024485252868703658e-05,1.024485252868703658e-05,1.047885849187871245e-06
3.684136148790473353e-02,3.203936786233497572e-08,-1.256618197404435228e-04,8.401427335263598656e-06,1.005353634216952230e+00,1.542390512861733154e-03,1.542390512861733154e-03,3.203936786233497572e-08,8.433466703125934148e-06,1.005328333816842834e+00,1.508656646049229451e-03,1.508656646049229451e-03,4.977572894351685014e-08,1.119733291801903422e-05,1.119733291801903422e-05,9.862603236042076054e-07
3.914394658089877937e-02,3.342694242992879777e-08,-1.110942637168106000e-04,8.666669221058751491e-06,1.005937433051808494e+00,1.265573548385024762e-03,1.265573548385024762e-03,3.342694242992879777e-08,8.700096163488680931e-06,1.005911332763318011e+00,1.230773163731070045e-03,1.230773163731070045e-03,5.192524100279261219e-08,1.200602897341815208e-05,1.200602897341815208e-05,9.224977427654785208e-07
4.144653167389282522e-02,3.471833984808253271e-08,-9.647678742879038747e-05,8.898052888344027276e-06,1.006536453845694457e+00,9.461298469595137879e-04,9.461298469595137879e-04,3.471833984808253271e-08,8.932771228192110113e-06,1.006509655532009884e+00,9.103987620467453475e-04,9.103987620467453475e-04,5.392393798224478032e-08,1.264280489432208477e-05,1.264280489432208477e-05,8.567987109387988837e-07
4.374911676688687107e-02,3.591110123148248312e-08,-8.185118179554914085e-05,9.095544229429922397e-06,1.007148301129260126e+00,5.978179594904322550e-04,5.978179594904322550e-04,3.591110123148248312e-08,9.131455330661404093e-06,1.007120906763268042e+00,5.612921381677865845e-04,5.612921381677865845e-04,5.576775351003327664e-08,1.308682886321848282e-05,1.308682886321848282e-05,7.893627731270317242e-07
4.605170185988091691e-02,3.700306991286447633e-08,-6.725781155847494644e-05,9.259203367410895940e-06,1.007770599471254469e+00,2.358022259580056055e-04,2.358022259580056055e-04,3.700306991286447633e-08,9.296206437323760119e-06,1.007742710851942558e+00,1.986174002087105718e-04,1.986174002087105718e-04,5.745308108172903220e-08,1.332560553555456709e-05,1.332560553555456709e-05,7.203886719137996879e-07
4.835428695287496276e-02,3.799238470568238227e-08,-5.273570724796996232e-05,9.389181399386140937e-06,1.008400999744873516e+00,-1.241383019005138212e-04,-1.241383019005138212e-04,3.799238470568238227e-08,9.427173784091822512e-06,1.008372718223521147e+00,-1.618469970368811113e-04,-1.618469970368811113e-04,5.897677208763581485e-08,1.335557105439084885e-05,1.335557105439084885e-05,6.500746658229701492e-07
5.065687204586900860e-02,3.887747363699631802e-08,-3.832265611316238661e-05,9.485717357418692458e-06,1.009037185094180167e+00,-4.664234543895956551e-04,-4.664234543895956551e-04,3.887747363699631802e-08,9.524594831055688848e-06,1.009008611309686998e+00,-5.045218337138184309e-04,-5.045218337138184309e-04,6.033613460802153269e-08,1.318222487053853971e-05,1.318222487053853971e-05,5.786188586306378030e-07
5.295945713886305445e-02,3.965704839113839215e-08,-2.405528308951585816e-05,9.549135373779051849e-06,1.009676876618249119e+00,-7.764656434929980908e-04,-7.764656434929980908e-04,3.965704839113839215e-08,9.588792422170189494e-06,1.009648110240982666e+00,-8.148208131816788487e-04,-8.148208131816788487e-04,6.152893294435402800e-08,1.281979700911979090e-05,1.281979700911979090e-05,5.062194913427297493e-07
5.526204223185710029e-02,4.033009961825764609e-08,-9.969114190048381671e-06,9.579842017908293345e-06,1.010317838788818090e+00,-1.041403030350583582e-03,-1.041403030350583582e-03,4.033009961825764609e-08,9.620172117526551461e-06,1.010288978272465554e+00,-1.079883718820689835e-03,-1.079883718820689835e-03,6.255338774854150990e-08,1.229047343879764574e-05,1.229047343879764574e-05,4.330751533000158448e-07
5.756462732485114614e-02,4.089589317232651719e-08,3.901383656723149759e-06,9.578323756888776043e-06,1.010957884614277713e+00,-1.250735354105960264e-03,-1.250735354105960264e-03,4.089589317232651719e-08,9.619219650061103341e-06,1.010929026955327492e+00,-1.289212232706204650e-03,-1.289212232706204650e-03,6.340817651972219546e-08,1.162322460072875605e-05,1.162322460072875605e-05,3.593848757345742174e-07
5.986721241784519199e-02,4.135396725509534778e-08,1.752279043468524372e-05,9.545144479614532125e-06,1.011594880558990495e+00,-1.396831271176822821e-03,-1.396831271176822821e-03,4.135396725509534778e-08,9.586498446869627665e-06,1.011566121063649959e+00,-1.435177264964301305e-03,-1.435177264964301305e-03,6.409243416343391048e-08,1.085230187671797125e-05,1.085230187671797125e-05,2.853480796409865884e-07
6.216979751083923783e-02,4.170413036052976942e-08,3.086275066653251852e-05,9.480943017753880306e-06,1.012226751222602639e+00,-1.475283187043998755e-03,-1.475283187043998755e-03,4.170413036052976942e-08,9.522647148114410043e-06,1.012198183281158403e+00,-1.513373775636456470e-03,-1.513373775636456470e-03,6.460575325456937999e-08,1.001548279191293212e-05,1.001548279191293212e-05,2.111643595136275206e-07
6.447238260383328368e-02,4.194645984213828260e-08,4.389002098076404340e-05,9.386430594082450452e-06,1.012851483779426687e+00,-1.485093789612589119e-03,-1.485093789612589119e-03,4.194645984213828260e-08,9.428377053924588867e-06,1.012823198648264977e+00,-1.522807297828287576e-03,-1.522807297828287576e-03,6.494818361512698200e-08,9.152157372187021665e-06,9.152157372187021665e-06,1.370330948058337449e-07
6.677496769682733646e-02,4.208130086685802578e-08,5.657454586810225648e-05,9.262388130765373431e-06,1.013467132173524243e+00,-1.428687345928627206e-03,-1.428687345928627206e-03,4.208130086685802578e-08,9.304469431632230675e-06,1.013439218765229244e+00,-1.465905223655156230e-03,-1.465905223655156230e-03,6.512023081134079599e-08,8.301354757669037379e-06,8.301354757669037379e-06,6.315289130613791493e-08
6.907755278982137537e-02,4.210926547604393658e-08,6.888755816794405427e-05,9.109663356320595040e-06,1.014071821061012679e+00,-1.311747861510010509e-03,-1.311747861510010509e-03,4.210926547604393658e-08,9.151772621796638600e-06,1.014044365743147269e+00,-1.348354951997196962e-03,-1.348354951997196962e-03,6.512285319161865505e-08,7.499810709249903047e-06,7.499810709249903047e-06,-1.027913550659702589e-08
7.138013788281541427e-02,4.203123144843207200e-08,8.080169938597888703e-05,8.929167659787527706e-06,1.014663749487677125e+00,-1.142894933817057953e-03,-1.142894933817057953e-03,4.203123144843207200e-08,8.971198891235960586e-06,1.014636835891003397e+00,-1.178779729382001869e-03,-1.178779729382001869e-03,6.495745712523625053e-08,6.780173036308189469e-06,6.780173036308189469e-06,-8.306821418813161113e-08
7.368272297580946706e-02,4.184834065221205514e-08,9.229115382970759951e-05,8.721872653355562503e-06,1.015241194287332505e+00,-9.332161440533192449e-04,-9.332161440533192449e-04,4.184834065221205514e-08,8.763720994007775101e-06,1.015214903124350476e+00,-9.682710280293503656e-04,-9.682710280293503656e-04,6.462589015911851120e-08,6.169433523037982139e-06,6.169433523037982139e-06,-1.550228796932525629e-07
7.598530806880351984e-02,4.156199658339311251e-08,1.033317898036450420e-04,8.488806419565770187e-06,1.015802513184739020e+00,-6.956817178917991439e-04,-6.956817178917991439e-04,4.156199658339311251e-08,8.530368416149163651e-06,1.015776922079490552e+00,-7.298031915563957511e-04,-7.298031915563957511e-04,6.413043188268270543e-08,5.687662163715397941e-06,5.687662163715397941e-06,-2.259560101650226629e-07
