ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
0.000000000000000000e+00,0.000000000000000000e+00,-3.124945290682112995e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.499868697637070395e-08
2.302585092994045846e-03,1.095830064294068152e-10,-2.961519477465664792e-04,7.040163319610829744e-07,1.000536173728277856e+00,6.485556686790037561e-04,6.485556686790037561e-04,1.095830064294068152e-10,7.041259149675124194e-07,1.000534061350532911e+00,6.457391650191336577e-04,6.457391650191336577e-04,1.705473414699804801e-10,1.297190325337788903e-07,1.297190325337788903e-07,7.245094939982041426e-08
4.605170185988091691e-03,2.121165699839063069e-10,-2.651441430774774182e-04,1.351161467208742758e-06,1.002088607132599396e+00,1.851701820247936715e-03,1.851701820247936715e-03,2.121165699839063069e-10,1.351373583778726606e-06,1.002084553011848067e+00,1.846296325912821779e-03,1.846296325912821779e-03,3.304696389308787221e-10,8.554879979245685230e-07,8.554879979245685230e-07,6.624760981689749671e-08
6.907755278982137537e-03,3.033714524952534470e-10,-2.284092829492911686e-04,1.918173752346313849e-06,1.004546901343795096e+00,2.226062659938184835e-03,2.226062659938184835e-03,3.033714524952534470e-10,1.918477123798809300e-06,1.004541145912423605e+00,2.218388751442989387e-03,2.218388751442989387e-03,4.737874798004111593e-10,2.092869319599134029e-06,2.092869319599134029e-06,5.847456301137698474e-08
9.210340371976183382e-03,3.819094414168216968e-10,-1.902358564805943161e-04,2.398373608444615390e-06,1.007780522130781620e+00,1.233004883750755520e-03,1.233004883750755520e-03,3.819094414168216968e-10,2.398755517886032155e-06,1.007773325864227854e+00,1.223409861679211445e-03,1.223409861679211445e-03,5.984269569694663237e-10,3.142343137875935468e-06,3.142343137875935468e-06,5.014701180648584321e-08
1.151292546497022923e-02,4.468609340710545867e-10,-1.474184408469583752e-04,2.786005625642610925e-06,1.011652833017587794e+00,-2.516043939146197258e-04,-2.516043939146197258e-04,4.468609340710545867e-10,2.786452486576681774e-06,1.011644473660127996e+00,-2.627502038609264750e-04,-2.627502038609264750e-04,7.024952464321073256e-10,3.411569720190312566e-06,3.411569720190312566e-06,4.046364526892576781e-08
1.381551055796427507e-02,4.956859666743318337e-10,-9.466798685944681545e-05,3.063971941291245059e-06,1.016011828005303874e+00,-8.672828830176165273e-04,-8.672828830176165273e-04,4.956859666743318337e-10,3.064467627257919453e-06,1.016002634602422017e+00,-8.795407535266482491e-04,-8.795407535266482491e-04,7.812503160040648350e-10,3.022357761940938458e-06,3.022357761940938458e-06,2.807829889219075925e-08
1.611809565095832092e-02,5.243799110174347538e-10,-3.224089902187357777e-05,3.208281864184393691e-06,1.020674601785205526e+00,-1.983261539866884972e-04,-1.983261539866884972e-04,5.243799110174347538e-10,3.208806244095410935e-06,1.020664975366473159e+00,-2.111613789630701460e-04,-2.111613789630701460e-04,8.281115274244128335e-10,2.663604007198076992e-06,2.663604007198076992e-06,1.298157030053354842e-08
1.842068074395236676e-02,5.299330613724361857e-10,3.230288756843566900e-05,3.204455232072774746e-06,1.025429158390824380e+00,8.064840665801665089e-04,8.064840665801665089e-04,5.299330613724361857e-10,3.204985165134147247e-06,1.025419543435329039e+00,7.936641259196298894e-04,7.936641259196298894e-04,8.386969937488871134e-10,2.853620232061426194e-06,2.853620232061426194e-06,-3.006243606156725629e-09
2.072326583694641261e-02,5.124873643030203073e-10,8.988605404654461024e-05,3.058716438829231443e-06,1.030058691440370877e+00,8.498595518973150759e-04,8.498595518973150759e-04,5.124873643030203073e-10,3.059228926193534296e-06,1.030049513753592327e+00,8.376226361925409201e-04,8.376226361925409201e-04,8.137088206531652742e-10,3.393083986597930616e-06,3.393083986597930616e-06,-1.762049644629706499e-08
2.302585092994045846e-02,4.749973487544514893e-10,1.370599963609996769e-04,2.792676753208778604e-06,1.034370211658620198e+00,-3.448377854971676005e-04,-3.448377854971676005e-04,4.749973487544514893e-10,2.793151750557533063e-06,1.034361832203368525e+00,-3.560103924993977581e-04,-3.560103924993977581e-04,7.577637607370873846e-10,3.579565897161014885e-06,3.579565897161014885e-06,-2.994285563354650080e-08
2.532843602293450430e-02,4.208198432921741967e-10,1.771895396200555493e-04,2.427467588217698694e-06,1.038205534591282175e+00,-1.744641779011521640e-03,-1.744641779011521640e-03,4.208198432921741967e-10,2.427888408060990991e-06,1.038198250926057886e+00,-1.754353332643765560e-03,-1.754353332643765560e-03,6.755037127022803378e-10,2.951182676023716982e-06,2.951182676023716982e-06,-4.075577007794449849e-08
2.763102111592855015e-02,3.517463495236881292e-10,2.147851397011680305e-04,1.973693844765291682e-06,1.041431237304733637e+00,-2.084408328416955791e-03,-2.084408328416955791e-03,3.517463495236881292e-10,1.974045591114815282e-06,1.041425315167960219e+00,-2.092304510781415119e-03,-2.092304510781415119e-03,5.690361222805035673e-10,1.778547115691591514e-06,1.778547115691591514e-06,-5.116271611791950819e-08
2.993360620892259599e-02,2.684247183248429111e-10,2.491392085485687690e-04,1.436766458255841044e-06,1.043925152153415414e+00,-1.174216924144859007e-03,-1.174216924144859007e-03,2.684247183248429111e-10,1.437034882974165895e-06,1.043920841048766590e+00,-1.179965063676755759e-03,-1.179965063676755759e-03,4.392082108247582289e-10,7.960328876242227888e-07,7.960328876242227888e-07,-6.096890199929556975e-08
3.223619130191664184e-02,1.725750374030031550e-10,2.738579148669538043e-04,8.308988101672336126e-07,1.045578789696580246e+00,-8.084721945517413287e-05,-8.084721945517413287e-05,1.725750374030031550e-10,8.310713852046366332e-07,1.045576296482424672e+00,-8.417150499599268618e-05,-8.417150499599268618e-05,2.891566495936645118e-10,4.584211383577752260e-07,4.584211383577752260e-07,-6.850969321691355142e-08
3.453877639491068768e-02,6.856385631483618233e-11,2.825762508842377956e-04,1.863533540345910933e-07,1.046316863893860694e+00,-1.177455423684192312e-05,-1.177455423684192312e-05,6.856385631483618233e-11,1.864219178909059353e-07,1.046316304628106986e+00,-1.252024190840554749e-05,-1.252024190840554749e-05,1.262523190314748213e-10,4.955802892478610417e-07,4.955802892478610417e-07,-7.207218358332505535e-08
3.684136148790473353e-02,-3.738554899791550061e-11,2.748334993879507403e-04,-4.580830665542490617e-07,1.046116355469217885e+00,-1.068600536712754163e-03,-1.068600536712754163e-03,-3.738554899791550061e-11,-4.581204521032469905e-07,1.046117729830574161e+00,-1.066768054904341113e-03,-1.066768054904341113e-03,-3.971043580442143928e-11,2.200222324572924990e-07,2.200222324572924990e-07,-7.142111930015549150e-08
3.914394658089877937e-02,-1.396221250680907265e-10,2.561665665003731956e-04,-1.070162926644973789e-06,1.045007371527654438e+00,-2.151607945157286463e-03,-2.151607945157286463e-03,-1.396221250680907265e-10,-1.070302548770041967e-06,1.045010582435300650e+00,-2.147326734962206295e-03,-2.147326734962206295e-03,-2.003590633081757035e-10,-7.381394969726912269e-07,-7.381394969726912269e-07,-6.788126485411724192e-08
4.144653167389282522e-02,-2.347782279215685702e-10,2.325617450101050653e-04,-1.632229385310125435e-06,1.043055794004851045e+00,-2.097155106720277433e-03,-2.097155106720277433e-03,-2.347782279215685702e-10,-1.632464163538046930e-06,1.043060691397341699e+00,-2.090625250066125394e-03,-2.090625250066125394e-03,-3.509017234044239987e-10,-2.028161649694406951e-06,-2.028161649694406951e-06,-6.294246614654807367e-08
4.374911676688687107e-02,-3.212103742545167966e-10,2.050691373090938075e-04,-2.135348569752008573e-06,1.040344673688293753e+00,-8.691534527303417185e-04,-8.691534527303417185e-04,-3.212103742545167966e-10,-2.135669780126263186e-06,1.040351080697634156e+00,-8.606107736098367149e-04,-8.606107736098367149e-04,-4.887096528674792406e-10,-2.917058798810743757e-06,-2.917058798810743757e-06,-5.684600310154792387e-08
4.605170185988091691e-02,-3.969543352503904518e-10,1.699537565351259176e-04,-2.566848244945493561e-06,1.036970549535777275e+00,4.097233890340320063e-04,4.097233890340320063e-04,-3.969543352503904518e-10,-2.567245199280743900e-06,1.036978251271375218e+00,4.199923698311549582e-04,4.199923698311549582e-04,-6.101022223963093095e-10,-3.017021116559876944e-06,-3.017021116559876944e-06,-4.857525424843129400e-08
4.835428695287496276e-02,-4.584389335079486020e-10,1.239597444138899429e-04,-2.904819235043921323e-06,1.033054033381753944e+00,6.027249378742446408e-04,6.027249378742446408e-04,-4.584389335079486020e-10,-2.905277673977429178e-06,1.033062749214775922e+00,6.143460485701543981e-04,6.143460485701543981e-04,-7.088542871897568220e-10,-2.658490690241112103e-06,-2.658490690241112103e-06,-3.720662439137227092e-08
5.065687204586900860e-02,-5.013522564740986613e-10,6.915810753451154594e-05,-3.125494108225962334e-06,1.028748757600103758e+00,-2.962256654720835298e-04,-2.962256654720835298e-04,-5.013522564740986613e-10,-3.125995460482436359e-06,1.028758135586485212e+00,-2.837216836301538047e-04,-2.837216836301538047e-04,-7.780778240123537879e-10,-2.535098097849724674e-06,-2.535098097849724674e-06,-2.320859871645369345e-08
5.295945713886305445e-02,-5.228326662713416784e-10,1.249412384457213607e-05,-3.216173955938131214e-06,1.024234304623016456e+00,-1.173914665460092923e-03,-1.173914665460092923e-03,-5.228326662713416784e-10,-3.216696788604402735e-06,1.024243954713382365e+00,-1.161047878305675272e-03,-1.161047878305675272e-03,-8.136615438431006632e-10,-2.988355989744661354e-06,-2.988355989744661354e-06,-8.374414092539404006e-09
5.526204223185710029e-02,-5.228362412343519214e-10,-3.937284492756089527e-05,-3.180982867700655824e-06,1.019694730169047769e+00,-9.372392938791997054e-04,-9.372392938791997054e-04,-5.228362412343519214e-10,-3.181505703941890038e-06,1.019704274686159540e+00,-9.245132710634321876e-04,-9.245132710634321876e-04,-8.159132143101639179e-10,-3.658233917107643147e-06,-3.658233917107643147e-06,5.518436614941563141e-09
5.756462732485114614e-02,-5.033948683690243466e-10,-8.470468727782714559e-05,-3.034194560963797562e-06,1.015298207381983175e+00,3.805286678127149441e-04,3.805286678127149441e-04,-5.033948683690243466e-10,-3.034697955832166490e-06,1.015307311475850627e+00,3.926674596360436083e-04,3.926674596360436083e-04,-7.879056035409060150e-10,-3.847305047203257187e-06,-3.847305047203257187e-06,1.796543305310895069e-08
5.986721241784519199e-02,-4.665869158771607755e-10,-1.263096309207274053e-04,-2.788219742371680684e-06,1.011191492327308650e+00,1.655007415067418376e-03,1.655007415067418376e-03,-4.665869158771607755e-10,-2.788686329287557882e-06,1.011199858386296446e+00,1.666162160384568585e-03,1.666162160384568585e-03,-7.323076728142132925e-10,-3.225029550937020327e-06,-3.225029550937020327e-06,2.968322958421115258e-08
6.216979751083923783e-02,-4.132611801624862533e-10,-1.668063344134568075e-04,-2.448153366501574103e-06,1.007507900152690983e+00,1.796315089079003439e-03,1.796315089079003439e-03,-4.132611801624862533e-10,-2.448566627681736487e-06,1.007515245852574015e+00,1.806109355589730374e-03,1.806109355589730374e-03,-6.498816462483869989e-10,-2.163348222369147032e-06,-2.163348222369147032e-06,4.136253389909391945e-08
6.447238260383328368e-02,-3.437152373734326393e-10,-2.044322012489236100e-04,-2.017670338465034584e-06,1.004374682455106527e+00,8.279681820533426684e-04,8.279681820533426684e-04,-3.437152373734326393e-10,-2.018014053702408041e-06,1.004380736497267668e+00,8.360402382681523040e-04,8.360402382681523040e-04,-5.410310748197899908e-10,-1.372481572697837256e-06,-1.372481572697837256e-06,5.251562851962564842e-08
6.677496769682733646e-02,-2.595377838959482042e-10,-2.335449734129934111e-04,-1.509567297418760145e-06,1.001907542422749264e+00,-1.522952196931315165e-04,-1.522952196931315165e-04,-2.595377838959482042e-10,-1.509826835202655989e-06,1.001912071903254819e+00,-1.462559123523208908e-04,-1.462559123523208908e-04,-4.086873040068022235e-10,-1.206862641279931836e-06,-1.206862641279931836e-06,6.156887498170514396e-08
6.907755278982137537e-02,-1.646827231906374160e-10,-2.491834967475191386e-04,-9.498443804942397482e-07,1.000193968658265931e+00,-7.468555155388689369e-05,-7.468555155388689369e-05,-1.646827231906374160e-10,-9.500090632174303505e-07,1.000196818685455513e+00,-7.088551530101717144e-05,-7.088551530101717144e-05,-2.595205902570447118e-10,-1.333235961146022027e-06,-1.333235961146022027e-06,6.708502628069840376e-08
7.138013788281541427e-02,-6.463822343526048439e-11,-2.511089533530323640e-04,-3.708862788444947659e-07,9.992788763132575136e-01,1.042331445191768072e-03,1.042331445191768072e-03,-6.463822343526048439e-11,-3.709509170679300448e-07,9.992799891660086864e-01,1.043815248860039801e-03,1.043815248860039801e-03,-1.021691557893757617e-10,-1.084586996120170690e-06,-1.084586996120170690e-06,6.889440789087444822e-08
7.368272297580946706e-02,3.556352656717840840e-11,-2.434405488535026452e-04,1.999661701538535425e-07,9.991642831975788841e-01,2.118230546573429338e-03,2.118230546573429338e-03,3.556352656717840840e-11,2.000017336804207236e-07,9.991636831923778050e-01,2.117430539638707858e-03,2.117430539638707858e-03,5.588695850225732332e-11,-1.418788347967274515e-07,-1.418788347967274515e-07,6.804253505687005998e-08
7.598530806880351984e-02,1.326559975883938293e-10,-2.304306375831946291e-04,7.459799603326829639e-07,9.998217433760304695e-01,2.081709473123975057e-03,2.081709473123975057e-03,1.326559975883938293e-10,7.461126163302713435e-07,9.998195050381815108e-01,2.078725022658654050e-03,2.078725022658654050e-03,2.099284846411714965e-10,1.132109849333784529e-06,1.132109849333784529e-06,6.564974027034576413e-08
7.828789316179755875e-02,2.246547455504957934e-10,-2.126218898246986209e-04,1.256372876410028344e-06,1.001205103272883035e+00,9.217644982251667904e-04,9.217644982251667904e-04,2.246547455504957934e-10,1.256597531155578783e-06,1.001201333480289613e+00,9.167381081005445244e-04,9.167381081005445244e-04,3.567820758480002545e-10,2.031416747259143398e-06,2.031416747259143398e-06,6.182855747992426055e-08
8.059047825479159766e-02,3.092420098510185357e-10,-1.870608143680697389e-04,1.717107926517494139e-06,1.003252472519043703e+00,-3.086817292234032817e-04,-3.086817292234032817e-04,3.092420098510185357e-10,1.717417168527345223e-06,1.003247320267538045e+00,-3.155513978975126423e-04,-3.155513978975126423e-04,4.922709343469870478e-10,2.179561525326304133e-06,2.179561525326304133e-06,5.570466871812215753e-08
8.289306334778565044e-02,3.827474345993441060e-10,-1.511650075597963290e-04,2.106906765707403353e-06,1.005878185348799247e+00,-5.250001563253277586e-04,-5.250001563253277586e-04,3.827474345993441060e-10,2.107289513142002637e-06,1.005871863480259920e+00,-5.334293143778957641e-04,-5.334293143778957641e-04,6.100501097875306479e-10,1.876466950568752681e-06,1.876466950568752681e-06,4.648038027941140550e-08
8.519564844077970323e-02,4.408112461709246302e-10,-1.063424512395471988e-04,2.402752311747010225e-06,1.008966006702257889e+00,3.394575792538931012e-04,3.394575792538931012e-04,4.408112461709246302e-10,2.403193122993181240e-06,1.008958797122888829e+00,3.298448067619203796e-04,3.298448067619203796e-04,7.031062617315698000e-10,1.786354261744083666e-06,1.786354261744083666e-06,3.447368930157567658e-08
8.749823353377374213e-02,4.801489917343979701e-10,-5.786124386837171826e-05,2.589778840714517257e-06,1.012373915641462174e+00,1.283803998416308424e-03,1.283803998416308424e-03,4.801489917343979701e-10,2.590258989706251618e-06,1.012366144864492945e+00,1.273442962457483349e-03,1.273442962457483349e-03,7.665734406504353712e-10,2.277829183793666176e-06,2.277829183793666176e-06,2.112402337690246232e-08
8.980081862676778104e-02,4.997819344851803038e-10,-1.119339755473497268e-05,2.666343556799659897e-06,1.015949889718282595e+00,1.223179797927103534e-03,1.223179797927103534e-03,4.997819344851803038e-10,2.666843338734144957e-06,1.015941889188266334e+00,1.212512424572166929e-03,1.212512424572166929e-03,7.992679418153897121e-10,3.059500239866149435e-06,3.059500239866149435e-06,7.979018821865153867e-09
9.210340371976183382e-02,5.006399865746436326e-10,3.160314085410740551e-05,2.639909214779284381e-06,1.019548074211059419e+00,4.186606847125034586e-05,4.186606847125034586e-05,5.006399865746436326e-10,2.640409854765858938e-06,1.019540152981495140e+00,3.130442905218691011e-05,3.130442905218691011e-05,8.026208335825130718e-10,3.459732505500659317e-06,3.459732505500659317e-06,-4.352031302174849648e-09
9.440598881275588661e-02,4.840068464456395413e-10,7.209590428647803491e-05,2.518136363636444844e-06,1.023035027442626088e+00,-1.297643857242714114e-03,-1.297643857242714114e-03,4.840068464456395413e-10,2.518620370482890415e-06,1.023027471581514636e+00,-1.307718338724645586e-03,-1.307718338724645586e-03,7.781749721291039852e-10,3.073826107802048354e-06,3.073826107802048354e-06,-1.629682299956851292e-08
9.670857390574992551e-02,4.503363261813656868e-10,1.122861566177138764e-04,2.303797489627852974e-06,1.026285585808627721e+00,-1.680461220361242989e-03,-1.680461220361242989e-03,4.503363261813656868e-10,2.304247825954034439e-06,1.026278673065149860e+00,-1.689678211665059191e-03,-1.689678211665059191e-03,7.261015123833946975e-10,2.153037984376828554e-06,2.153037984376828554e-06,-2.842563778587417671e-08
9.901115899874396442e-02,3.995412038162314301e-10,1.512253544540028002e-04,1.998019296051010740e-06,1.029177524889921758e+00,-8.999909590207060906e-04,-8.999909590207060906e-04,3.995412038162314301e-10,1.998418837254827149e-06,1.029171529633410076e+00,-9.079846343697253958e-04,-9.079846343697253958e-04,6.461033868255851880e-10,1.365945517970726614e-06,1.365945517970726614e-06,-4.046124703334653913e-08
1.013137440917380172e-01,3.324037451966624951e-10,1.846844503085252323e-04,1.608196874146305887e-06,1.031594562088710365e+00,1.592495642916262361e-04,1.592495642916262361e-04,3.324037451966624951e-10,1.608529277891502537e-06,1.031589736500876597e+00,1.528154471800602268e-04,1.528154471800602268e-04,5.397308382834804691e-10,1.167056213178236163e-06,1.167056213178236163e-06,-5.114832499598525261e-08
1.036163291847320700e-01,2.516891860964563623e-10,2.081059388336203159e-04,1.152569766579192661e-06,1.033438480955589212e+00,3.771583439789630396e-04,3.771583439789630396e-04,2.516891860964563623e-10,1.152821455765289192e-06,1.033435022491221877e+00,3.725470581559018972e-04,3.725470581559018972e-04,4.117966643669854019e-10,1.377870374902398484e-06,1.377870374902398484e-06,-5.909247058584991605e-08
1.059189142777261089e-01,1.618493136902921470e-10,2.199790051542533016e-04,6.568107152673799418e-07,1.034641936999107559e+00,-5.345424806485158265e-04,-5.345424806485158265e-04,1.618493136902921470e-10,6.569725645810702359e-07,1.034639966081413842e+00,-5.371703709068400808e-04,-5.371703709068400808e-04,2.694682041292941441e-10,1.374979238954208486e-06,1.374979238954208486e-06,-6.376217428590547080e-08
1.082214993707201478e-01,6.754384304284478475e-11,2.225009385181098945e-04,1.455547493519471111e-07,1.035172485567444900e+00,-1.765023379257001784e-03,-1.765023379257001784e-03,6.754384304284478475e-11,1.456222931949899584e-07,1.035172048700565339e+00,-1.765605868429781814e-03,-1.765605868429781814e-03,1.198111387110829916e-10,6.993596533062346991e-07,6.993596533062346991e-07,-6.572078734255509743e-08
1.105240844637142006e-01,-2.770939499108762346e-11,2.190412920383018585e-04,-3.636660072185609116e-07,1.035026128412053215e+00,-2.177121451822227379e-03,-2.177121451822227379e-03,-2.770939499108762346e-11,-3.636937166135519975e-07,1.035027219493203088e+00,-2.175666676955773267e-03,-2.175666676955773267e-03,-3.203880516123799513e-11,-4.938102219610533827e-07,-4.938102219610533827e-07,-6.590538578612392025e-08
1.128266695567082534e-01,-1.216171670952675693e-10,2.109014263128836141e-04,-8.591898458555245317e-07,1.034217607885390633e+00,-1.378447228086399686e-03,-1.378447228086399686e-03,-1.216171670952675693e-10,-8.593114630226197466e-07,1.034220185819779703e+00,-1.375009982234309249e-03,-1.375009982234309249e-03,-1.825722919592251407e-10,-1.566869159512031649e-06,-1.566869159512031649e-06,-6.466076469823747850e-08
