ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.198589488911479e-05,0.0,0.0,1.0,0.0,0.0,1.8893652700101653e-38,5047.9439774469965
0.002302585092994046,6.353895893240342e-08,9.660987728299594e-08,0.9999998093831232,-2.541558357791226e-07,-2.541558357791226e-07,9.66479609114544e-08,9.668610304127374e-08,9.668610304127374e-08,4.200233309536509e-05,3.3070918350589146e-08,3.307091835059252e-08,1.000000099212755,1.3228367335286117e-07,1.3228367335286117e-07,-3.374896899216353e-21,5021.00918678426
0.004605170185988092,1.2705883910692025e-07,1.9308819628353717e-07,0.9999996188234825,-5.082353568227591e-07,-5.082353568227591e-07,1.9324030874893587e-07,1.9339288886926754e-07,1.9339288886926754e-07,4.201877061984403e-05,6.602935717661765e-08,6.602935717661692e-08,1.0000001980880713,2.641174283113896e-07,2.641174283113896e-07,7.279189390466644e-22,4994.170761070289
0.0069077552789821375,1.9055986716058487e-07,2.894362683573639e-07,0.999999428320398,-7.622394699723751e-07,-7.622394699723751e-07,2.89778024734992e-07,2.901213582571908e-07,2.901213582571908e-07,4.2035208043397356e-05,9.887640119677813e-08,9.8876401196779e-08,1.000000296629203,3.9550560345708043e-07,3.9550560345708043e-07,-8.735027268559972e-22,4967.428768676182
0.009210340371976183,2.5404226995676214e-07,3.856553963307115e-07,0.999999237873189,-1.016169082971794e-06,-1.016169082971794e-06,3.8626208545233816e-07,3.868725101928656e-07,3.868725101928656e-07,4.205164595318549e-05,1.316131263739508e-07,1.3161312637394939e-07,1.000000394839378,5.26452502351052e-07,5.26452502351052e-07,1.402898318889935e-21,4940.783273493312
0.01151292546497023,3.1750627458836653e-07,4.817468745601585e-07,0.999999047481174,-1.2700251044800912e-06,-1.2700251044800912e-06,4.82693462866936e-07,4.836473418881204e-07,4.836473418881204e-07,4.2068084942716975e-05,1.6424059997179266e-07,1.64240599971792e-07,1.0000004927217976,6.569623937605429e-07,6.569623937605429e-07,6.617444900424221e-22,4914.234334954978
0.013815510557964275,3.809521083821579e-07,5.777119889941056e-07,0.999998857143671,-1.5238084440887884e-06,-1.5238084440887884e-06,5.790731243529657e-07,5.804468487901218e-07,5.804468487901218e-07,4.2084525611679776e-05,1.9675988061194833e-07,1.9675988061194765e-07,1.000000590279638,7.870395118876339e-07,7.870395118876339e-07,6.88214269644119e-22,4887.782008077043
0.01611809565095832,4.4437999890266285e-07,6.735520172335053e-07,0.999998666859997,-1.7775200123375563e-06,-1.7775200123375563e-06,6.754020327173286e-07,6.77272024592307e-07,6.77272024592307e-07,4.210096856609745e-05,2.2917201833084466e-07,2.2917201833084243e-07,1.0000006875160488,9.166880565964649e-07,9.166880565964649e-07,2.2234614865425384e-21,4861.426343468786
0.018420680743952367,5.077901739570282e-07,7.692682285939665e-07,0.999998476629469,-2.031160720733641e-06,-2.031160720733641e-06,7.716811462257939e-07,7.741238612470172e-07,7.741238612470172e-07,4.211741441836661e-05,2.614780546369354e-07,2.6147805463693835e-07,1.0000007844341547,1.0459121936422251e-06,1.0459121936422251e-06,-2.964615315390051e-21,4835.167387355277
0.020723265836946413,5.711828615982368e-07,8.648618841651004e-07,0.9999982864514021,-2.2847314817647484e-06,-2.2847314817647484e-06,8.679114186266515e-07,8.710033489756933e-07,8.710033489756933e-07,4.2133863787203465e-05,2.9367902256686226e-07,2.9367902256686353e-07,1.0000008810370546,1.174716054895653e-06,1.174716054895653e-06,-1.2705494208814505e-21,4809.005181608359
0.02302585092994046,6.345582901307011e-07,9.60334236873554e-07,0.9999980963251116,-2.538233208921427e-06,-2.538233208921427e-06,9.64093799178327e-07,9.679114762831004e-07,9.679114762831004e-07,4.215031729763843e-05,3.257759467428515e-07,3.257759467428529e-07,1.0000009773278222,1.3031037385727892e-06,1.3031037385727892e-06,-1.376428539288238e-21,4782.939763773502
0.025328436022934504,6.979166881136352e-07,1.055686531542339e-06,0.9999979062499118,-2.791666816710575e-06,-2.791666816710575e-06,1.060229232673555e-06,1.0648492299681696e-06,1.0648492299681696e-06,4.2166775581285734e-05,3.5776984342869737e-07,3.577698434287038e-07,1.0000010733095064,1.431079309458781e-06,1.431079309458781e-06,-6.405686663610646e-21,4756.971167072258
0.02763102111592855,7.6125828436633e-07,1.1509200049530889e-06,0.999997716225116,-3.0450332206765556e-06,-3.0450332206765556e-06,1.1563186594667517e-06,1.1618175951380992e-06,1.1618175951380992e-06,4.218323927596665e-05,3.8966172058675947e-07,3.896617205867589e-07,1.000001168985131,1.5586467991358e-06,1.5586467991358e-06,5.823351512373315e-22,4731.099420463391
