ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-33.09183540437247,4.25009353333726e-15,5.578697993924398,4.866168949355875e+21,-0.3749999999999997,-7.466553974783195e+21,1.042064313941339e+44,1.042064313941339e+44,0.0,0.0625,9.667809580544273e-16,7.603001221163047e-16
-33.022933452442075,4.553257643875454e-15,5.5528597619505,4.3779454292294904e+21,-0.3749999999999997,-6.718149900739462e+21,8.474680049327158e+43,8.474680049327158e+43,0.0,0.0625,1.0154227703553636e-15,9.348808692849072e-16
-32.95403150051168,4.878046802709054e-15,5.527021529976602,3.938660827428539e+21,-0.3749999999999997,-6.044699120044251e+21,6.892108383101843e+43,6.892108383101843e+43,0.0,0.0625,5.167178676597279e-16,7.184681206236264e-16
-32.88512954858129,5.2260035496622794e-15,5.501183298002705,3.5434136655163676e+21,-0.3749999999999997,-5.438700745720976e+21,5.60506800114474e+43,5.60506800114474e+43,0.0,0.0625,8.872681290680334e-16,7.067546950196084e-16
-32.8162275966509,5.5987804557175106e-15,5.475345066028809,3.187792995263744e+21,-0.37499999999999956,-4.893404004620708e+21,4.558371045714366e+43,4.558371045714366e+43,0.0,0.0625,8.927933508461545e-16,8.690402966291227e-16
-32.747325644720505,5.998147971665667e-15,5.449506834054911,2.867829342231441e+21,-0.3749999999999997,-4.402733272714707e+21,3.7071355041835503e+43,3.7071355041835503e+43,0.0,0.0625,1.1183218652359635e-15,9.35016296568436e-16
-32.67842369279012,6.426002836609882e-15,5.423668602081016,2.5799505521048667e+21,-0.37499999999999967,-3.961220597626362e+21,3.014860683467003e+43,3.014860683467003e+43,0.0,0.0625,8.441392294571919e-16,8.212253694335122e-16
-32.609521740859726,6.884377086257756e-15,5.39783037010712,2.3209420500938402e+21,-0.37499999999999967,-3.563944961025052e+21,2.4518620726049827e+43,2.4518620726049827e+43,0.0,0.0625,7.623281383549358e-16,8.078366581005138e-16
-32.540619788929334,7.375447703785089e-15,5.371992138133222,2.0879110725935665e+21,-0.37499999999999967,-3.2064776080695723e+21,1.9939984809399279e+43,1.9939984809399279e+43,0.0,0.0625,9.187694517816394e-16,8.691661862162397e-16
-32.47171783699894,7.901546959107415e-15,5.346153906159324,1.8782544743065723e+21,-0.37499999999999967,-2.8848328382150796e+21,1.621636871998433e+43,1.621636871998433e+43,0.0,0.0625,7.496591487354414e-16,7.633891783428667e-16
-32.40281588506855,8.46517348566355e-15,5.320315674185427,1.68962975364071e+21,-0.37499999999999967,-2.595423712133082e+21,1.3188105055051563e+43,1.3188105055051563e+43,0.0,0.0625,1.0365438549367477e-15,9.386792371745634e-16
-32.333913933138156,9.069004147319025e-15,5.294477442211531,1.519928974859678e+21,-0.37499999999999967,-2.3350221839006428e+21,1.072534288941875e+43,1.072534288941875e+43,0.0,0.0625,6.621884609144056e-16,8.079536816997079e-16
-32.26501198120776,9.71590675174954e-15,5.268639210237633,1.367255297565706e+21,-0.37499999999999967,-2.1007232165961033e+21,8.722479811573957e+42,8.722479811573957e+42,0.0,0.0625,5.656925664821602e-16,8.515514390593902e-16
-32.19611002927738,1.0408953670684754e-14,5.242800978263738,1.229901852993414e+21,-0.3749999999999997,-1.8899124835341603e+21,7.093633727866819e+42,7.093633727866819e+42,0.0,0.0625,1.0734880062205628e-15,6.980569264083787e-16
-32.127208077346985,1.1151436431700264e-14,5.216962746289842,1.1063327326091409e+21,-0.3749999999999997,-1.7002372970704082e+21,5.768960267280791e+42,5.768960267280791e+42,0.0,0.0625,8.894887150690579e-16,8.583453391464493e-16
-32.05830612541659,1.1946881350858317e-14,5.191124514315944,9.951658779294425e+20,-0.37499999999999956,-1.5295804426438312e+21,4.6916578783483566e+42,4.6916578783483566e+42,0.0,0.0625,9.053921106068367e-16,9.235093968582678e-16
-31.9894041734862,1.2799066280443699e-14,5.165286282342046,8.951576815533316e+20,-0.37499999999999967,-1.3760366278974277e+21,3.815532197770436e+42,3.815532197770436e+42,0.0,0.0625,8.990122090345666e-16,9.733426230884043e-16
-31.920502221555807,1.3712038551334705e-14,5.1394480503681494,8.051891283805538e+20,-0.37499999999999956,-1.2378912856809372e+21,3.103015251689277e+42,3.103015251689277e+42,0.0,0.0625,1.0770409374537983e-15,1.1968423667380758e-15
-31.851600269625415,1.469013419522437e-14,5.113609818394253,7.242533230709632e+20,-0.3749999999999998,-1.1136014958130506e+21,2.5235545536328297e+42,2.5235545536328297e+42,0.0,0.0625,6.175563148728888e-16,7.358311538202814e-16
-31.782698317695026,1.5737998537985e-14,5.087771586420357,6.514442651777236e+20,-0.37499999999999967,-1.001778813952765e+21,2.0523030241936724e+42,2.0523030241936724e+42,0.0,0.0625,9.44758311217738e-16,9.047933161125805e-16
-31.713796365764633,1.6860608261981636e-14,5.061933354446459,5.859467472293695e+20,-0.3749999999999997,-9.011738170596975e+20,1.669053556639402e+42,1.669053556639402e+42,0.0,0.0625,6.456275417251089e-16,7.417018072073983e-16
-31.64489441383424,1.806329504211537e-14,5.036095122472562,5.27027263496308e+20,-0.3749999999999997,-8.106621939451796e+20,1.357372542987488e+42,1.357372542987488e+42,0.0,0.0625,1.092229635055247e-15,9.120119938191437e-16
-31.575992461903848,1.93517708678537e-14,5.010256890498664,4.740258283934872e+20,-0.3749999999999997,-7.292322265394855e+20,1.1038952064342632e+42,1.1038952064342632e+42,0.0,0.0625,7.484203154649336e-16,8.410717104779136e-16
-31.50709050997346,2.0732155171510374e-14,4.984418658524767,4.2634861356750615e+20,-0.3750000000000022,-6.559735229156925e+20,8.977525242307675e+41,8.977525242307675e+41,0.0,0.0625,-6.086268989648287e-15,-6.032829232659807e-15
-31.438188558043066,2.2211003891617353e-14,4.9585804265508715,3.834613218043653e+20,-0.3749999999999998,-5.9006687698682256e+20,7.30105167650912e+41,7.30105167650912e+41,0.0,0.0625,5.877187372589142e-16,6.358365004121988e-16
-31.369286606112674,2.379534060942017e-14,4.932742194576975,3.448832240748312e+20,-0.37499999999999967,-5.307751422848608e+20,5.937644745552854e+41,5.937644745552854e+41,0.0,0.0625,6.60415120264707e-16,7.81837807119923e-16
