ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.06907755278982138,1.7206056239698255e-06,2.5789735539518786e-06,0.9999947561875573,-7.102762251021476e-06,-7.102762251021476e-06,2.6088589854174232e-06,2.6391725362535004e-06,2.6391725362535004e-06,3.834400231108568e-05,8.583679299820502e-07,8.583679299820531e-07,1.0000024931082192,3.2131319647860382e-06,3.2131319647860382e-06,-2.858736196981363e-21,4743.399711012369
0.07138013788281541,1.7775209807278285e-06,2.6630695055323875e-06,0.9999945772536617,-7.352411096035772e-06,-7.352411096035772e-06,2.6949368935569882e-06,2.7272421019907415e-06,2.7272421019907415e-06,3.834867873279611e-05,8.855485248045564e-07,8.85548524804559e-07,1.0000025664621783,3.2998669260937784e-06,3.2998669260937784e-06,-2.5410988417610443e-21,4718.016961233433
0.07368272297580947,1.8344098451373695e-06,2.747055244570244e-06,0.9999943978910653,-7.603311435623782e-06,-7.603311435623782e-06,2.780965538924904e-06,2.815319589770836e-06,2.815319589770836e-06,3.8353331413592e-05,9.126453994328728e-07,9.126453994328745e-07,1.0000026390567989,3.384909542657194e-06,3.384909542657194e-06,-1.6940658945067867e-21,4692.730729424073
0.07598530806880352,1.8912723843988727e-06,2.830931690700485e-06,0.9999942180863565,-7.855496934609896e-06,-7.855496934609896e-06,2.866945615945641e-06,2.903404952152021e-06,2.903404952152021e-06,3.835796091774129e-05,9.396593063016173e-07,9.396593063016124e-07,1.0000027108814287,3.468229828192044e-06,3.468229828192044e-06,4.870439446713998e-21,4667.540998926172
0.07828789316179756,1.9481087658087165e-06,2.9146997569549998e-06,0.9999940378263238,-8.109000552299998e-06,-8.109000552299998e-06,2.952877815046429e-06,2.9914981196468114e-06,2.9914981196468114e-06,3.836256781393745e-05,9.66590991146281e-07,9.665909911462832e-07,1.0000027819255946,3.549798475520001e-06,3.549798475520001e-06,-2.3293406049475967e-21,4642.447749159661
0.0805904782547916,2.0049191567658255e-06,2.998360349821299e-06,0.999993857097954,-8.363854541690801e-06,-8.363854541690801e-06,3.0387628226888212e-06,3.0795990011058014e-06,3.0795990011058014e-06,3.8367152675000254e-05,9.934411930554736e-07,9.934411930554734e-07,1.0000028521790034,3.6295868575943944e-06,3.6295868575943944e-06,2.1175823681526215e-22,4617.450955681184
0.08289306334778565,2.0617037247681747e-06,3.0819143692847327e-06,0.9999936758884305,-8.620090448860245e-06,-8.620090448860245e-06,3.1246013213839233e-06,3.167707484085829e-06,3.167707484085829e-06,3.837171607773534e-05,1.0202106445165584e-06,1.020210644516558e-06,1.0000029216315383,3.707567028278686e-06,3.707567028278686e-06,4.235164736287957e-22,4592.550590227014
0.0851956484407797,2.118462637419905e-06,3.165362708887773e-06,0.9999934941851318,-8.877739112621094e-06,-8.877739112621094e-06,3.21039398972493e-06,3.2558234352360653e-06,3.2558234352360653e-06,3.8376258602728234e-05,1.0469000714678693e-06,1.046900071467868e-06,1.0000029902732586,3.783711722929999e-06,3.783711722929999e-06,1.2705494208830548e-21,4567.746620762071
0.08749823353377374,2.1751960624328705e-06,3.248706255780113e-06,0.9999933119756305,-9.136830664368799e-06,-9.136830664368799e-06,3.2961415024106815e-06,3.343946700675609e-06,3.343946700675609e-06,3.8380780835136094e-05,1.073510193347245e-06,1.0735101933472424e-06,1.0000030580943977,3.857994358751653e-06,3.857994358751653e-06,2.5410988417644643e-21,4543.0390114338015
0.08980081862676778,2.23190416762968e-06,3.331945890771006e-06,0.9999931292476906,-9.397394528149806e-06,-9.397394528149806e-06,3.381844530271699e-06,3.432077106373944e-06,3.432077106373944e-06,3.838528336397731e-05,1.1000417231413246e-06,1.100041723141326e-06,1.000003125085363,3.9303890349342175e-06,3.9303890349342175e-06,-1.4823076576935025e-21,4518.427722670375
0.09210340371976183,2.2885871209465935e-06,3.415082488381218e-06,0.999992945989267,-9.65945942094082e-06,-9.65945942094082e-06,3.467503740296041e-06,3.520214458531493e-06,3.520214458531493e-06,3.838976678241843e-05,1.1264953674346244e-06,1.1264953674346244e-06,1.0000031912367322,4.000870532584052e-06,4.000870532584052e-06,1.4827806681906266e-33,4493.912711183345
0.09440598881275589,2.3452450904363527e-06,3.4981169168946976e-06,0.9999927621885037,-9.923053353136463e-06,-9.923053353136463e-06,3.553119795655105e-06,3.608358543960283e-06,3.608358543960283e-06,3.8394231687842657e-05,1.1528718264583413e-06,1.1528718264583449e-06,1.0000032565392545,4.069414314442327e-06,4.069414314442327e-06,-3.5998900258293335e-21,4469.493929991671
0.09670857390574993,2.401878244272264e-06,3.5810500384121172e-06,0.9999925778337321,-1.0188203629247939e-05,-1.0188203629247939e-05,3.6386933557315245e-06,3.6965091304667744e-06,3.6965091304667744e-06,3.839867868156936e-05,1.1791717941398547e-06,1.1791717941398532e-06,1.0000033209838473,4.13599652440053e-06,4.13599652440053e-06,1.482307657696429e-21,4445.171328478717
0.09901115899874396,2.4584867507495444e-06,3.6638827088997973e-06,0.9999923929134693,-1.0454936848793274e-05,-1.0454936848793274e-05,3.7242250761426532e-06,3.784665967230226e-06,3.784665967230226e-06,3.8403108369234584e-05,1.2053959581502542e-06,1.205395958150253e-06,1.000003384561596,4.2005939868059155e-06,4.2005939868059155e-06,1.2705494208828148e-21,4420.944852387206
0.10131374409173802,2.5150707782906864e-06,3.7466157782449985e-06,0.9999922074164173,-1.0723278907404071e-05,-1.0723278907404071e-05,3.8097156087706496e-06,3.872828785187527e-06,3.872828785187527e-06,3.8407521360573013e-05,1.2315449999543152e-06,1.231544999954312e-06,1.000003447263752,4.2631842055759226e-06,4.2631842055759226e-06,3.176373552204952e-21,4396.814443870737
0.10361632918473207,2.571630495447208e-06,3.82925009030515e-06,0.9999920213314607,-1.0993254998114214e-05,-1.0993254998114214e-05,3.895165601786706e-06,3.9609972974119245e-06,3.9609972974119245e-06,3.841191826942343e-05,1.2576195948579433e-06,1.2576195948579425e-06,1.0000035090817316,4.3237453631063875e-06,4.3237453631063875e-06,8.470329472555876e-22,4372.780041524298
0.10591891427772611,2.628166070903311e-06,3.9117864829600266e-06,0.9999918346476657,-1.1264889612850294e-05,-1.1264889612850294e-05,3.980575699678442e-06,4.0491711994945685e-06,4.0491711994945685e-06,3.841629971384366e-05,1.2836204120567192e-06,1.2836204120567154e-06,1.0000035700071146,4.382256318989813e-06,4.382256318989813e-06,3.811648262645601e-21,4348.841580404886
0.10822149937072015,2.684677673480327e-06,3.994225788165025e-06,0.9999916473542785,-1.1538206544116107e-05,-1.1538206544116107e-05,4.0659465432786165e-06,4.137350169926939e-06,4.137350169926939e-06,3.842066631603995e-05,1.3095481146846954e-06,1.3095481146846976e-06,1.000003630031643,4.438696608543992e-06,4.438696608543992e-06,-2.1175823681345392e-21,4324.9989920695225
0.1105240844637142,2.741165472138998e-06,4.076568832000742e-06,0.9999914594407235,-1.181322888685576e-05,-1.181322888685576e-05,4.15127876979035e-06,4.225533870479234e-06,4.225533870479234e-06,3.84250187024197e-05,1.3354033598617438e-06,1.3354033598617438e-06,1.0000036891472195,4.493046441147207e-06,4.493046441147207e-06,1.1739799648706099e-33,4301.252204601986
