ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.523284907484664e-06,0.0,0.0,1.0,0.0,0.0,3.6139467959391556e-32,139135.13105910123
0.002302585092994046,2.302257596504633e-09,3.5005408848068084e-09,0.9999999930577581,-9.30338937432113e-09,-9.30338937432113e-09,3.50192139584481e-09,3.5032904225880145e-09,3.5032904225880145e-09,1.5199274986751563e-06,1.1982832883020264e-09,1.1982832883021755e-09,1.0000000035593808,4.6987741649061036e-09,4.6987741649061036e-09,-1.4909930537722405e-22,138752.52593531273
0.004605170185988092,4.597847656478096e-09,6.987223532704229e-09,0.999999985923764,-1.91372318371631e-08,-1.91372318371631e-08,6.9927327463267665e-09,6.998042996851777e-09,6.998042996851777e-09,1.5165724978725306e-06,2.3893758762261776e-09,2.3893758762261333e-09,1.0000000068854347,8.811662293653817e-09,8.811662293653817e-09,4.4254162806372674e-23,138369.67340775684
0.0069077552789821375,6.886789214967807e-09,1.0460116959764754e-08,0.9999999783891083,-3.0019618411351324e-08,-3.0019618411351324e-08,1.047248395188772e-08,1.048382814912684e-08,1.048382814912684e-08,1.51321994359545e-06,3.5733277447969332e-09,3.5733277447969465e-09,1.0000000097694592,1.182084942770769e-08,1.182084942770769e-08,-1.32348897667295e-23,137986.58521053242
0.009210340371976183,9.169101281464608e-09,1.3919289736955695e-08,0.9999999702480242,-4.239900966056468e-08,-4.239900966056468e-08,1.3941224640020283e-08,1.3959935810786081e-08,1.3959935810786081e-08,1.5098698739440326e-06,4.750188455491104e-09,4.750188455491087e-09,1.0000000120058934,1.3278149287258101e-08,1.3278149287258101e-08,1.6543612284519434e-23,137603.27303331366
0.01151292546497023,1.1444802839400177e-08,1.7364809992443833e-08,0.9999999612978625,-5.662873150317892e-08,-5.662873150317892e-08,1.73990041658399e-08,1.7425422720721354e-08,1.7425422720721354e-08,1.5065223266023423e-06,5.920007153043684e-09,5.920007153043657e-09,1.0000000133922924,1.2830508466596417e-08,1.2830508466596417e-08,2.729696024705536e-23,137219.74852058326
0.013815510557964275,1.3713912845611844e-08,2.0796745413902225e-08,0.9999999513390647,-7.294732253389835e-08,-7.294732253389835e-08,2.0845871612672803e-08,2.0879172872678067e-08,2.0879172872678067e-08,1.5031773388406142e-06,7.082832568290368e-09,7.082832568290381e-09,1.000000013729301,1.0239659121710546e-08,1.0239659121710546e-08,-1.3234889768689852e-23,136836.0232707615
0.01611809565095832,1.5976450229769706e-08,2.4215163250815662e-08,0.9999999401751387,-9.14657795607406e-08,-9.14657795607406e-08,2.4281875792656405e-08,2.4319967397625007e-08,2.4319967397625007e-08,1.4998349475179008e-06,8.23871302104589e-09,8.238713021045956e-09,1.0000000128206286,5.394873442522046e-09,5.394873442522046e-09,-6.617444897272397e-23,136452.10883553588
0.018420680743952367,1.823243389376245e-08,2.7620130316787192e-08,0.9999999276126322,-1.1216235429310358e-07,-1.1216235429310358e-07,2.770706524735472e-08,2.7746559743757918e-08,2.7746559743757918e-08,1.496495189084558e-06,9.387696423024804e-09,9.387696423024741e-09,1.0000000104730231,-1.6818330259548145e-09,-1.6818330259548145e-09,6.286572658491448e-23,136068.0167191314
0.020723265836946413,2.048188271104361e-08,3.101171299184055e-08,0.999999913461108,-1.348850784695132e-07,-1.348850784695132e-07,3.112148824838353e-08,3.11577517208587e-08,3.11577517208587e-08,1.4931580995846178e-06,1.0529830280796878e-08,1.0529830280796939e-08,1.0000000064962469,-1.0838226502150996e-08,-1.0838226502150996e-08,-6.121136529866714e-23,135683.7583775416
