ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3566827895538685e-05,0.0,0.0,1.0,0.0,0.0,2.538269748449102e-32,15622.107605044861
0.002302585092994046,2.0512510100245422e-08,3.118890344805673e-08,0.999999938437553,-8.211650758698993e-08,-8.211650758698993e-08,3.1201201857703746e-08,3.1213509587794943e-08,3.1213509587794943e-08,1.3547387941384048e-05,1.0676393347811088e-08,1.0676393347811311e-08,1.0000000320042632,4.2639106205237e-08,4.2639106205237e-08,-2.2333876536439323e-22,15567.124524446233
0.004605170185988092,4.0981419572352106e-08,6.227837761761535e-08,0.999999876857114,-1.6445546701431247e-07,-1.6445546701431247e-07,6.232746960566647e-08,6.237655977235221e-08,6.237655977235221e-08,1.352792481774201e-05,2.1296958045263368e-08,2.129695804526324e-08,1.0000000636922468,8.465804345614891e-08,8.465804345614891e-08,1.2904017558274242e-22,15512.210699072215
0.0069077552789821375,6.140681171671118e-08,9.326889278357629e-08,0.9999998151115735,-2.474079007246382e-07,-2.474079007246382e-07,9.337912208810553e-08,9.348908901242119e-08,9.348908901242119e-08,1.3508438893058475e-05,3.186208106686669e-08,3.186208106686511e-08,1.000000094918252,1.2566767040966696e-07,1.2566767040966696e-07,1.5749518863249848e-21,15457.36711725738
0.009210340371976183,8.178876989876865e-08,1.2416091593246051e-07,0.9999997530559178,-3.31356507382229e-07,-3.31356507382229e-07,1.2435647624304023e-07,1.2455081150262987e-07,1.2455081150262987e-07,1.3488930534063248e-05,4.237214603369239e-08,4.2372146033691864e-08,1.0000001255386657,1.6528715634761303e-07,1.6528715634761303e-07,5.22778147157088e-22,15402.594759706495
0.01151292546497023,1.021273775445863e-07,1.5495491078101307e-07,0.9999996905472123,-4.166739591701031e-07,-4.166739591701031e-07,1.5525984710684405e-07,1.5556122215042022e-07,1.5556122215042022e-07,1.3469400105766871e-05,5.282753323642638e-08,5.2827533236426776e-08,1.0000001554119446,2.0314568395394918e-07,2.0314568395394918e-07,-3.970466940023203e-22,15347.894599454008
0.013815510557964275,1.2242271813653183e-07,1.8565133779495022e-07,0.9999996274445864,-5.037212667029963e-07,-5.037212667029963e-07,1.8608954781904943e-07,1.8651960251657743e-07,1.8651960251657743e-07,1.3449847971436891e-05,6.32286196584189e-08,6.322861965841839e-08,1.0000001843985997,2.388840844768046e-07,2.388840844768046e-07,5.161607022557849e-22,15293.267601832797
0.01611809565095832,1.4267487520896279e-07,2.1625065420759773e-07,0.9999995636092168,-5.928462184159468e-07,-5.928462184159468e-07,2.1684588962715574e-07,2.1742502767947212e-07,2.1742502767947212e-07,1.3430274492607748e-05,7.357577899863412e-08,7.357577899863494e-08,1.0000002123611795,2.7215639841444415e-07,2.7215639841444415e-07,-8.205631676303411e-22,15238.71472443128
0.018420680743952367,1.628839323440233e-07,2.4675331403864155e-07,0.9999994989043126,-6.84381900828691e-07,-6.84381900828691e-07,2.4752918189165765e-07,2.482763739801422e-07,2.482763739801422e-07,1.3410680029078445e-05,8.386938169461828e-08,8.386938169461826e-08,1.0000002391642546,3.0263135532587517e-07,3.0263135532587517e-07,1.3234889822681663e-23,15184.236917056518
0.020723265836946413,1.8304997316732243e-07,2.7715976811256674e-07,0.9999994331950983,-7.786453055637096e-07,-7.786453055637096e-07,2.7813973209087034e-07,2.7907232760078823e-07,2.7907232760078823e-07,1.3391064938901115e-05,9.410979494524493e-08,9.410979494524431e-08,1.0000002646744026,3.2999376688655737e-07,3.2999376688655737e-07,6.220398206612849e-22,15129.835121702074
