ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.41506546378282e-07,0.0,0.0,1.0,0.0,0.0,3.719498115806031e-32,620610.1976401471
0.002302585092994046,5.161255481636735e-10,7.847595169202419e-10,0.9999999984151191,-2.1605863718313626e-09,-2.1605863718313626e-09,7.850690070483486e-10,7.853650601084913e-10,7.853650601084913e-10,3.407280261496578e-07,2.686339687565892e-10,2.686339687565684e-10,1.0000000007693977,9.78451695849605e-10,9.78451695849605e-10,2.0834611715171425e-23,618950.4652900386
0.004605170185988092,1.0307173786252672e-09,1.5663529727699318e-09,0.9999999966169094,-4.85850495934239e-09,-4.85850495934239e-09,1.567588025657976e-09,1.5686108688296964e-09,1.5686108688296964e-09,3.39950199497872e-07,5.3563559414464e-10,5.356355941446646e-10,1.0000000013159682,1.4069069317373376e-09,1.4069069317373376e-09,-2.46086231876564e-23,617289.2511448008
0.0069077552789821375,1.5437800374389605e-09,2.3447962964524073e-09,0.9999999943904299,-8.487237456520235e-09,-8.487237456520235e-09,2.347568652817839e-09,2.3493106712960265e-09,2.3493106712960265e-09,3.3917307456501107e-07,8.010162590134635e-10,8.010162590134468e-10,1.0000000014248187,8.91947729289394e-10,8.91947729289394e-10,1.6750407439306134e-23,615626.6088273749
0.009210340371976183,2.055318063700145e-09,3.120105314253883e-09,0.9999999915239897,-1.3187311484617438e-08,-1.3187311484617438e-08,3.1250224219458626e-09,3.126879906887255e-09,3.126879906887255e-09,3.3839665939664686e-07,1.0647872505537771e-09,1.0647872505537378e-09,1.0000000008843055,-7.06890227601906e-10,-7.06890227601906e-10,3.9291079130694236e-23,613962.5917728445
0.01151292546497023,2.565335989442868e-09,3.892295750374678e-09,0.9999999878091217,-1.88116156684997e-08,-1.88116156684997e-08,3.8999608030267516e-09,3.900735182377755e-09,3.900735182377755e-09,3.3762096194246896e-07,1.3269597609317938e-09,1.3269597609318102e-09,0.9999999994860089,-3.242432667000987e-09,-3.242432667000987e-09,-1.6336817064171876e-23,612297.253224838
0.013815510557964275,3.0738383394285454e-09,4.661383227460476e-09,0.9999999830405563,-2.4966635893724435e-08,-2.4966635893724435e-08,4.67239520275303e-09,4.6704516546963666e-09,4.6704516546963666e-09,3.36845990056902e-07,1.5875448880319468e-09,1.5875448880319303e-09,0.999999997024706,-6.321102983882532e-09,-6.321102983882532e-09,1.6543612284142808e-23,610630.6462313845
0.01611809565095832,3.5808296308469897e-09,5.427383267133124e-09,0.9999999770161934,-3.111767398867051e-08,-3.111767398867051e-08,5.4423369646691125e-09,5.4358773747984236e-09,5.4358773747984236e-09,3.3607175149974374e-07,1.8465536362861304e-09,1.8465536362861345e-09,0.9999999932983432,-9.40814092013801e-09,-9.40814092013801e-09,-4.1359030303442695e-24,608962.8236417968
0.018420680743952367,4.086314372972104e-09,6.190311290521003e-09,0.9999999695370768,-3.672968205714706e-08,-3.672968205714706e-08,6.209797369318541e-09,6.1971752813953685e-09,6.1971752813953685e-09,3.352982539367942e-07,2.1039969175489142e-09,2.103996917548899e-09,0.9999999881080107,-1.1968436895063049e-08,-1.1968436895063049e-08,1.530284136399722e-23,607293.8381032408
0.020723265836946413,4.590297066827301e-09,6.95018261878861e-09,0.999999960407368,-4.140653477328666e-08,-4.140653477328666e-08,6.9747876343940554e-09,6.954782732662816e-09,6.954782732662816e-09,3.3452550494047737e-07,2.359885551961324e-09,2.359885551961309e-09,0.9999999812579159,-1.3605804298132218e-08,-1.3605804298132218e-08,1.4889251057072708e-23,605623.7420570956
0.02302585092994046,5.092782204910912e-09,7.707012473665706e-09,0.9999999494343188,-4.4992595491381155e-08,-4.4992595491381155e-08,7.737318914890814e-09,7.709300062498253e-09,7.709300062498253e-09,3.3375351199046703e-07,2.6142302687548187e-09,2.6142302687547935e-09,0.9999999725553562,-1.4164545596718332e-08,-1.4164545596718332e-08,2.5229008713344163e-23,603952.5877355109
0.025328436022934504,5.593774271017234e-09,8.460815977975902e-09,0.9999999364282456,-4.761080831559374e-08,-4.761080831559374e-08,8.497402303262347e-09,8.461337885923196e-09,8.461337885923196e-09,3.329822824743243e-07,2.8670417069586956e-09,2.8670417069586687e-09,0.9999999618106935,-1.3767544403690134e-08,-1.3767544403690134e-08,2.6883369937815375e-23,602280.4271587961
0.02763102111592855,6.093277740162267e-09,9.2116081561651e-09,0.999999921202503,-4.9628416673662885e-08,-4.9628416673662885e-08,9.255048829579517e-09,9.211363124180801e-09,9.211363124180801e-09,3.322118236880996e-07,3.1183304160028033e-09,3.1183304160028326e-09,0.9999999488373275,-1.2781984049002487e-08,-1.2781984049002487e-08,-2.936491171641884e-23,600607.3121310205
0.029933606208922596,6.591297078598518e-09,9.959403934829852e-09,0.9999999035734585,-5.156016891268206e-08,-5.156016891268206e-08,1.001026946169225e-08,9.95958346225436e-09,9.95958346225436e-09,3.314421428369757e-07,3.3681068562313245e-09,3.3681068562313345e-09,0.9999999334516703,-1.1722553173362648e-08,-1.1722553173362648e-08,-9.92616732204459e-24,598933.2942378977
0.03223619130191664,7.087836743879491e-09,1.0704218143245837e-08,0.9999998833604652,-5.393480382421828e-08,-5.393480382421828e-08,1.0763075105394028e-08,1.0705899506101535e-08,1.0705899506101535e-08,3.30673247035873e-07,3.6163813993663274e-09,3.6163813993663465e-09,0.9999999154731196,-1.111793125123493e-08,-1.111793125123493e-08,-1.9025154060743406e-23,597258.4248428326
0.03453877639491069,7.582901184925496e-09,1.1446065513896412e-08,0.9999998603858372,-5.715955598035575e-08,-5.715955598035575e-08,1.1513476604589152e-08,1.1449936085311719e-08,1.1449936085311719e-08,3.299051433100773e-07,3.863164328970907e-09,3.863164328970916e-09,0.9999998947240337,-1.1375293924770102e-08,-1.1375293924770102e-08,-9.098986710716252e-24,595582.7550843147
