ln_a,zeta,u,delta_b,delta_gamma,delta_nu,theta_b,theta_gamma,theta_nu,alpha,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,slip_residual,canonical_denominator
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.486626539483207e-08,0.0,0.0,1.0,0.0,0.0,3.743313269741603e-32,2830947.2113438663
0.002302585092994046,1.1314588968690815e-10,1.7203626866229606e-10,0.9999999996238245,-5.444430869619639e-10,-5.444430869619639e-10,1.7210411578905225e-10,1.7215827016958314e-10,1.7215827016958314e-10,7.469431845464101e-08,5.889037897539017e-11,5.889037897538791e-11,1.0000000001399332,1.4370198768722038e-10,1.4370198768722038e-10,2.2618220241747455e-24,2823424.4929837263
0.004605170185988092,2.2595362784799476e-10,3.433755360775362e-10,0.9999999990293403,-1.5125185716927522e-09,-1.5125185716927522e-09,3.436462856249931e-10,3.437269316544745e-10,3.437269316544745e-10,7.452253140152014e-08,1.174219082295316e-10,1.1742190822954144e-10,1.0000000000594669,-1.3901642738260742e-10,-1.3901642738260742e-10,-9.848619132185362e-24,2815894.6260325904
0.0069077552789821375,3.3842422535064234e-10,5.140213173341695e-10,0.9999999980002465,-2.8475945804182004e-09,-2.8475945804182004e-09,5.146290726458745e-10,5.144509403348487e-10,5.144509403348487e-10,7.435090599306405e-08,1.75597091983522e-10,1.7559709198352716e-10,0.9999999995423104,-7.915093110815224e-10,-7.915093110815224e-10,-5.16987879312616e-24,2808357.85641507
0.009210340371976183,4.5055869150601807e-10,6.839771048773754e-10,0.9999999963235167,-4.080988426255712e-09,-4.080988426255712e-09,6.85055025928617e-10,6.842463044378985e-10,6.842463044378985e-10,7.417944396559968e-08,2.3341841337135337e-10,2.3341841337135735e-10,0.999999998375448,-1.3450800067462101e-09,-1.3450800067462101e-09,-3.980806663268028e-24,2800814.429209451
0.01151292546497023,5.623580338699078e-10,8.532463686261946e-10,0.9999999937893724,-4.854138925052789e-09,-4.854138925052789e-09,8.549266805197587e-10,8.532943285746888e-10,8.532943285746888e-10,7.400814703432855e-08,2.9088833475627857e-10,2.908883347562869e-10,0.9999999963491115,-1.4411534505480105e-09,-1.4411534505480105e-09,-8.323504879851312e-24,2793264.588631102
0.013815510557964275,6.738232580866149e-10,1.0218325560902858e-09,0.9999999901912566,-5.317040667276119e-09,-5.317040667276119e-09,1.0242465574669035e-09,1.021843616299877e-09,1.021843616299877e-09,7.38370168934684e-08,3.480092980036698e-10,3.4800929800367084e-10,0.9999999932567543,-1.229710442914976e-09,-1.229710442914976e-09,-1.0339757324007468e-24,2785708.578013304
0.01611809565095832,7.849553679143531e-10,1.1897390924865686e-09,0.9999999853258055,-5.957880377271017e-09,-5.957880377271017e-09,1.1930171638508476e-09,1.189937625371346e-09,1.189937625371346e-09,7.366605521639535e-08,4.047837245722071e-10,4.0478372457221545e-10,0.9999999888950227,-1.1989240073247425e-09,-1.1989240073247425e-09,-8.37520366947502e-24,2778146.6397929015
0.018420680743952367,8.957553653657541e-10,1.3569693808561384e-09,0.9999999789928229,-7.060998430468181e-09,-7.060998430468181e-09,1.36124099281838e-09,1.3573714651720342e-09,1.3573714651720342e-09,7.349526365578531e-08,4.612140154903811e-10,4.612140154903843e-10,0.9999999830637311,-1.6331209070436275e-09,-1.6331209070436275e-09,-3.2053248416779682e-24,2770579.015494476
0.020723265836946413,1.00622425077366e-09,1.5235268021814831e-09,0.9999999709952526,-8.395161204159721e-09,-8.395161204159721e-09,1.528920523615745e-09,1.5239230888344049e-09,1.5239230888344049e-09,7.332464384375472e-08,5.173025514078295e-10,5.173025514078232e-10,0.999999975565833,-2.3010539954337885e-09,-2.3010539954337885e-09,6.307252202029202e-24,2763005.945713519
0.02302585092994046,1.1163630226792714e-09,1.6894147155036799e-09,0.9999999611391528,-9.471962089340964e-09,-9.471962089340964e-09,1.6960582216227544e-09,1.6896015594228746e-09,1.6896015594228746e-09,7.315419739200087e-08,5.730516928244058e-10,5.730516928244085e-10,0.999999966207397,-2.7143032273262443e-09,-2.7143032273262443e-09,-2.688336960130955e-24,2755427.6701005367
0.025328436022934504,1.2261726776367546e-09,1.854636458039218e-09,0.9999999492336682,-1.0083582201933588e-08,-1.0083582201933588e-08,1.862656538387544e-09,1.8546395468370683e-09,1.8546395468370683e-09,7.298392589194261e-08,6.284637804024745e-10,6.284637804024635e-10,0.9999999547975775,-2.6650363697767157e-09,-2.6650363697767157e-09,1.096014314635463e-23,2747844.4273490533
0.02763102111592855,1.3356542101177688e-09,2.01919534529647e-09,0.9999999350910048,-1.0527898589709082e-08,-1.0527898589709082e-08,2.028717911661957e-09,2.0192408901799306e-09,2.0192408901799306e-09,7.281383091486004e-08,6.835411351786988e-10,6.835411351787011e-10,0.9999999411485908,-2.451117208523202e-09,-2.451117208523202e-09,-2.2747466551266322e-24,2740256.4551751916
0.029933606208922596,1.4448086125868617e-09,2.1830946711921535e-09,0.999999918526403,-1.127931664930184e-08,-1.127931664930184e-08,2.1942447654375526e-09,2.183361623753607e-09,2.183361623753607e-09,7.264391401203485e-08,7.382860586052979e-10,7.382860586052918e-10,0.999999925075687,-2.5469379645332264e-09,-2.5469379645332264e-09,6.1004570463464516e-24,2732663.9903079974
0.03223619130191664,1.553636875632271e-09,2.346337708168057e-09,0.9999998993581117,-1.2470901671033088e-08,-1.2470901671033088e-08,2.359239509982227e-09,2.346762837812334e-09,2.346762837812334e-09,7.247417671488917e-08,7.927008325357854e-10,7.92700832535786e-10,0.9999999063971249,-3.0855508383608593e-09,-3.0855508383608593e-09,-6.203854312667771e-25,2725067.2684711064
0.03453877639491069,1.6621399879802154e-09,2.5089277073079513e-09,0.9999998774073616,-1.3752706349791518e-08,-1.3752706349791518e-08,2.523704541877433e-09,2.5092750822975717e-09,2.5092750822975717e-09,7.23046205351245e-08,8.467877193277337e-10,8.46787719327736e-10,0.9999998849341447,-3.7169955205597128e-09,-3.7169955205597128e-09,-2.2747466569863245e-24,2717466.524370743
0.036841361487904734,1.7703189363511442e-09,2.670867898454316e-09,0.9999998524983401,-1.4674828838145373e-08,-1.4674828838145373e-08,2.6876422440559896e-09,2.670985307950029e-09,2.670985307950029e-09,7.21352469648601e-08,9.005489621031821e-10,9.005489621031717e-10,0.9999998605109438,-3.99135724432811e-09,-3.99135724432811e-09,1.0339757683840187e-23,2709861.9916808964
0.03914394658089878,1.8781747052880397e-09,2.832161490324645e-09,0.9999998244581647,-1.517436866674396e-08,-1.517436866674396e-08,2.8510549858404773e-09,2.832144877167922e-09,2.832144877167922e-09,7.196605747677123e-08,9.539867850366038e-10,9.539867850366052e-10,0.9999998329546492,-3.845722705445379e-09,-3.845722705445379e-09,-1.4475660456413364e-24,2702253.9030288183
0.041446531673892825,1.9857082771141715e-09,2.9928116706274474e-09,0.9999997931168573,-1.564002963605668e-08,-1.564002963605668e-08,3.013945122982201e-09,2.9929008459200836e-09,2.9929008459200836e-09,7.179705352422709e-08,1.007103393513265e-09,1.007103393513276e-09,0.9999998020952923,-3.66878295354689e-09,-3.66878295354689e-09,-1.096014309059581e-23,2694642.4899821794
0.04374911676688687,2.0929206320358288e-09,3.1528216061782943e-09,0.9999997583073191,-1.6490519151497673e-08,-1.6490519151497673e-08,3.1763149977007143e-09,3.1531416708349254e-09,3.1531416708349254e-09,7.16282365414288e-08,1.0599009741424587e-09,1.0599009741424655e-09,0.9999997677657839,-3.879232726784496e-09,-3.879232726784496e-09,-6.824240028419155e-24,2687027.9830362005
0.04605170185988092,2.1998127482508233e-09,3.3121944430160947e-09,0.9999997198653043,-1.7725346123358794e-08,-1.7725346123358794e-08,3.3381669387239005e-09,3.312621816739153e-09,3.312621816739153e-09,7.145960794354594e-08,1.1123816947652617e-09,1.1123816947652714e-09,0.9999997298018877,-4.476568351294415e-09,-4.476568351294415e-09,-9.719372172937118e-24,2679410.6115989536
0.04835428695287496,2.3063856019214845e-09,3.4709333065194223e-09,0.9999996776293951,-1.892888441365334e-08,-1.892888441365334e-08,3.4995032613285888e-09,3.471228849564774e-09,3.471228849564774e-09,7.129116912685334e-08,1.1645477045979407e-09,1.1645477045979378e-09,0.9999996880421951,-5.045151187575651e-09,-5.045151187575651e-09,2.8951321679202536e-24,2671790.6039810046
0.05065687204586901,2.4126401670187792e-09,3.629041301522546e-09,0.9999996314409764,-1.9717290455532268e-08,-1.9717290455532268e-08,3.660326267381706e-09,3.629106141309452e-09,3.629106141309452e-09,7.112292146886715e-08,1.2164011345037678e-09,1.2164011345037667e-09,0.9999996423281002,-5.201125249442084e-09,-5.201125249442084e-09,1.0339757891056559e-24,2664168.1873780657
0.052959457138863054,2.5185774151811343e-09,3.786521512431014e-09,0.9999995811442098,-2.0146699086618934e-08,-2.0146699086618934e-08,3.820638245381945e-09,3.786501967775348e-09,3.786501967775348e-09,7.095486632848079e-08,1.2679440972498721e-09,1.2679440972498798e-09,0.9999995925037743,-5.000613036894878e-09,-5.000613036894878e-09,-7.651420643265458e-24,2656543.5878668255
0.0552620422318571,2.6241983157129285e-09,3.943377003336993e-09,0.9999995265860099,-2.064993496113826e-08,-2.064993496113826e-08,3.980441470501958e-09,3.943508322078036e-09,3.943508322078036e-09,7.078700504610104e-08,1.3191786876240698e-09,1.3191786876240649e-09,0.9999995384161409,-4.876426947790286e-09,-4.876426947790286e-09,4.963083697609802e-24,2648917.030383214
0.057564627324851146,2.7295038356976784e-09,4.099610818134656e-09,0.999999467616018,-2.157513907109222e-08,-2.157513907109222e-08,4.139738204631034e-09,4.099967529940474e-09,4.099967529940474e-09,7.061933894378281e-08,1.3701069824369766e-09,1.3701069824369772e-09,0.9999994799148505,-5.176695798553598e-09,-5.176695798553598e-09,-6.203854376756862e-25,2641288.738717567
0.05986721241784519,2.834494940081614e-09,4.25522598063574e-09,0.9999994040865778,-2.281892397217448e-08,-2.281892397217448e-08,4.298530696418286e-09,4.255643602973931e-09,4.255643602973931e-09,7.0451869325364e-08,1.4207310405541227e-09,1.4207310405541258e-09,0.9999994168522558,-5.7980200496315215e-09,-5.7980200496315215e-09,-3.1019272758815108e-24,2633658.935499708
0.06216979751083924,2.9391725916184013e-09,4.410225494685053e-09,0.9999993358527106,-2.3939147196538065e-08,-2.3939147196538065e-08,4.45682118131631e-09,4.410474746391053e-09,4.410474746391053e-09,7.028459747659949e-08,1.4710529030666506e-09,1.4710529030666517e-09,0.9999993490833871,-6.298245217797853e-09,-6.298245217797853e-09,-1.0339757450399238e-24,2626027.842189394
0.06447238260383328,3.0435377507143057e-09,4.56461234427559e-09,0.9999992627720904,-2.4622258470942063e-08,-2.4622258470942063e-08,4.614611881625325e-09,4.564640516693471e-09,4.564640516693471e-09,7.011752466529504e-08,1.5210745935612948e-09,1.5210745935612847e-09,0.9999992764659275,-6.363809093839702e-09,-6.363809093839702e-09,1.0132962523890678e-23,2618395.679063305
0.06677496769682734,3.1475913753163874e-09,4.7183894936632064e-09,0.9999991847050196,-2.501068870896057e-08,-2.501068870896057e-08,4.771905006537768e-09,4.7183751904185835e-09,4.7183751904185835e-09,6.995065214144077e-08,1.5707981183468166e-09,1.570798118346819e-09,0.9999991988601881,-6.137130734307744e-09,-6.137130734307744e-09,-2.481541818072606e-24,2610762.665205731
0.06907755278982138,3.251334420938481e-09,4.871559887481073e-09,0.9999991015144043,-2.5550097614195844e-08,-2.5550097614195844e-08,4.928702752183355e-09,4.871725418475195e-09,4.871725418475195e-09,6.97839811373446e-08,1.6202254665426013e-09,1.620225466542592e-09,0.999999116129084,-6.063858064271551e-09,-6.063858064271551e-09,9.305781910284039e-24,2603129.0184966233
0.07138013788281541,3.354767840774706e-09,5.024126450854183e-09,0.9999990130657305,-2.6522333802687528e-08,-2.6522333802687528e-08,5.085007301674578e-09,5.0245057033677285e-09,5.0245057033677285e-09,6.961751286776471e-08,1.6693586100794752e-09,1.669358610079477e-09,0.9999990281381098,-6.425827999270796e-09,-6.425827999270796e-09,-1.8611563597002706e-24,2595494.955602657
0.07368272297580947,3.4578925857614373e-09,5.1760920895139355e-09,0.999998919227039,-2.7753944920763678e-08,-2.7753944920763678e-08,5.24082082515264e-09,5.176495867148934e-09,5.176495867148934e-09,6.945124853004164e-08,1.718199503752504e-09,1.7181995037524982e-09,0.9999989347553152,-7.049576562707936e-09,-7.049576562707936e-09,5.790264305902314e-24,2587860.691967134
