ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-33.84975687560677,1.9917616916577537e-15,5.862918545637261,3.6961065264853224e+27,-0.3749999999999996,-7.392213052939185e+27,1.0124599703579754e+45,1.0124599703579754e+45,0.0,0.0625,-7.673882301024525e-17,9.39037569885375e-16
-33.78085492367638,2.133836367642903e-15,5.837080313663365,3.220304987239246e+27,-0.37499999999999956,-6.440609974449264e+27,8.233920111017476e+44,8.233920111017476e+44,0.0,0.0625,-7.502550324639873e-18,9.622167988763012e-16
-33.711952971745994,2.2860453953634016e-15,5.8112420816894685,2.805753604915669e+27,-0.3749999999999997,-5.611507209804183e+27,6.696308237316968e+44,6.696308237316968e+44,0.0,0.0625,-2.6205025254494118e-17,8.282132750538715e-16
-33.6430510198156,2.449111669905149e-15,5.785403849715572,2.4445676178784377e+27,-0.3749999999999997,-4.889135235731648e+27,5.445831803633819e+44,5.445831803633819e+44,0.0,0.0625,-3.751616357021684e-17,7.274202121097283e-16
-33.57414906788521,2.623809651300512e-15,5.759565617741676,2.1298772735818144e+27,-0.3749999999999997,-4.2597545471401943e+27,4.42887080200364e+44,4.42887080200364e+44,0.0,0.0625,-1.3057128857727628e-16,7.155608375698941e-16
-33.505247115954816,2.81096904271594e-15,5.733727385767777,1.8556971659706025e+27,-0.37500000000000244,-3.7113943319194347e+27,3.60181828747476e+44,3.60181828747476e+44,0.0,0.0625,5.91809908390202e-17,-6.379046718996237e-15
-33.436345164024424,3.0114787310088995e-15,5.70788915379388,1.6168123931386817e+27,-0.3749999999999996,-3.233624786257141e+27,2.9292105270080846e+44,2.9292105270080846e+44,0.0,0.0625,-1.3711497218891055e-16,1.081904653609019e-15
-33.36744321209403,3.2262910083693267e-15,5.682050921819983,1.408679369965901e+27,-0.37499999999999967,-2.817358739913016e+27,2.382206326558101e+44,2.382206326558101e+44,0.0,0.0625,6.53307996680797e-17,8.314578131938733e-16
-33.29854126016364,3.456426095095674e-15,5.656212689846087,1.2273394091910788e+27,-0.3749999999999997,-2.454678818364708e+27,1.9373503303942548e+44,1.9373503303942548e+44,0.0,0.0625,9.241432950201616e-18,8.179022789145342e-16
-33.22963930823325,3.7029769849858e-15,5.630374457872191,1.0693434272343224e+27,-0.3749999999999997,-2.138686854452436e+27,1.5755672633535785e+44,1.5755672633535785e+44,0.0,0.0625,3.3570210621689485e-17,7.54282260970833e-16
-33.16073735630286,3.967114636355352e-15,5.604536225898293,9.31686342674328e+26,-0.3750000000000024,-1.8633726853336006e+27,1.2813439894715846e+44,1.2813439894715846e+44,0.0,0.0625,-1.0703309724592191e-17,-6.337788075988109e-15
-33.09183540437247,4.25009353333726e-15,5.578697993924398,8.117499196408452e+26,-0.3749999999999997,-1.6234998392677063e+27,1.042064313941339e+44,1.042064313941339e+44,0.0,0.0625,1.2525166734870985e-16,7.603001221163047e-16
-33.022933452442075,4.553257643875454e-15,5.5528597619505,7.072529690040773e+26,-0.3749999999999996,-1.4145059379951661e+27,8.474680049327158e+43,8.474680049327158e+43,0.0,0.0625,-1.1710800765013942e-16,9.348808692849072e-16
-32.95403150051168,4.878046802709054e-15,5.527021529976602,6.162079601885725e+26,-0.37499999999999967,-1.2324159203650814e+27,6.892108383101843e+43,6.892108383101843e+43,0.0,0.0625,7.110202732688535e-17,7.184681206236264e-16
