index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
11,101/100 + 11/20000,1.01055,4.559400998429373578005281768960079920059503915381900753756215681816927174512307336892,-0.05945935044416596143078393308613382976290272633448691430726538316456098666177710586133,0.001881678982669586186386475440097390802650786868022424067952422365730304060012498155085,0.3456411811218276042081174106636698896354389321234969852277045421208974771207035792708
12,101/100 + 12/20000,1.0106,4.552220025077531589916002606071435938733990888365948887110983514573661124583249044416,-0.05960083973938647249374797856377584648391547597430666798659650956687211813514145194517,0.001895093747051260689944414877100760576027784474759352997482332831541218463409539640962,0.3464116963943441964474462118744658322187255131738034641830054051493042310053524931023
13,101/100 + 13/20000,1.01065,4.545084067327503447397021516305782946751265590799676128873134855993917091618520618514,-0.05974200114073974962898244264099097489976290160703312374103317324405058752795281806147,0.001908540440463010882187628272687502340874149047315952920848453206291218138696036276213,0.3471800671738692312662712767343210811189742518782509854573849831488072439078571115708
14,101/100 + 14/20000,1.0107,4.537992633567520309370281818524116607843809199104234852896195556328628379130733380742,-0.05988283696812961113137207521024614970339636219297424806459043214580652257255650913061,0.001922018989526216672107415985925506048757109933025283459618037501710087788799568386062,0.3479463078513164153368734599816640323334291768832768898178907330711430678911867484435
15,101/100 + 15/20000,1.01075,4.530945239819607200176506255617286196141757212355391826706554941420443794190573132482,-0.06002334951436369323864481053065369425972049253385615381707201372917793772357140374499,0.00193552932137964292659512365838151004534772771559811614960581303911307134704011895867,0.3487104326518254494561234448968238509047140751705446864959367036757712959068903512727
16,101/100 + 16/20000,1.0108,4.523941409586198029434359756804237106215111236091262919506843933296683069168754902372,-0.0601635410455942383330078353614488360991146022956206293226661591301737338808222396758,0.00194907136367340043916197701581204576530265285081644732749176761251967840949467713046,0.3494724556374435989318774383878310262361842328038793369537036342774572740624985560949
17,101/100 + 17/20000,1.01085,4.516980673700526272886060337353679182641970058125510646190431696222132789801830340035,-0.06030341380174970826281390623529725990422970325477472412883082200059198556033337568845,0.001962645044563004954529584603425926465239022927518509367815079363995550629328696266103,0.3502323907097516194261174147402383636291922386394048316227347771446473468915349576628
18,101/100 + 18/20000,1.0109,4.510062570180681454803183250551770904668857083676827956708145098107062382082806879347,-0.06044296999695745510055311626804995782072560734417875811160378389974422175492849482028,0.001976250292703532212339722659360411131331247510766985416830628197111656345806896590742,0.3509902516124354444844473082658050207065105846848651071129917981322765183843754624403
19,101/100 + 19/20000,1.01095,4.503186644087225256873341303893577146521822897442095649359575496035527983787706300385,-0.06058221181995767473363853628938338204475154467919585329982110317052859279351199024266,0.001989887037243867024693163376498718268736867598706062055224833982027681866860843498725,0.3517460519338049991515319113859539908948332126330486636403050725108866178707467430184
20,101/100 + 20/20000,1.011,4.496352447384264623063446221498531743242280633593770353125928157466288429279541042019,-0.06072114143450886200136198330022528026763786596099620600938480883478876406283562952059,0.002003555207821044452158974010508116449287940898714092540459103218006351902538672871511,0.3524998051092614636716828458330271070834541431646931591657091440134111983492503614237
21,101/100 + 21/20000,1.01105,4.48955953880388264067023681665802542397874343368817924340058283489965813656873541704,-0.06085976097978497963590162575025266968112139724213838010256135674804493705161834113338,0.002017254734554681191350109736336617656917392966569653266018311896311923484859039664247,0.353251524423714272247919017657171912201029022658319025254190520314715357296532911432
22,101/100 + 22/20000,1.0111,4.482807483713831260259979487053764436235534367735467094250690766258867782808769984964,-0.06099807257076454702862159636194340150740638425236597922168248077650078963115232844094,0.002030985548041495334188447256505353027148191668501682765472439823358875755063100409613,0.3540012230139490941286868529415162849193992831065358795792356835905607078980908683382
23,101/100 + 23/20000,1.01115,4.476095853988393076841417810134553199309160171502479460826704019671193086837270151989,-0.06113607829861184881674444013016310014068231613187644551516763425560365345250824234093,0.002044747579349912704630933838032442850048346797372344743228009002976326328546248317002,0.3547489138709480078585022414925177965127089804124699610479152421973072582414778569609
24,101/100 + 24/20000,1.0112,4.469424227882322436535570111548524493950214249050466155261844401891449213886757599242,-0.06127378023105045746178550042776025892730670460685547991816184529329933674890319833288,0.002058540760014758022944690200234109782862342605328674424483166611999905041411407574767,0.3554946098421630443187038903220954195135386943336621499496262786216997384108659248241
25,101/100 + 25/20000,1.01125,4.462792189907779062093459151056065576629397632992053670281936825754537980749347250224,-0.06141118041272925836223921347870760732616569528223169585579556362271573898153258092349,0.002072365022032029190647373812015995158318204863479260671229122489263447441952598411335,0.3562383236337442401509670497151974531632146946619382926004177207875994695267143347072
26,101/100 + 26/20000,1.0113,4.456199330714170211534973649845208656212456496482753993522713508615853716655214868061,-0.06154828086558116060154943613556628164136841896900178332580079200388307219155751520612,0.002086220297853753031012860403365441847099144946346285107446180504975496066674151820195,0.3569800678127233102548501817874561594805213661995044495182915271213098693405799078811
